tic_id,ra,dec,tmag
120418600,285.0131082,40.2209547,13.3179
120103325,284.0323723,39.7815365,13.734
158218214,286.4100307,42.6815137,14.9548
270609625,293.6084289,42.1978746,13.3387
271665352,295.3496546,45.1145372,14.9556
159581434,290.9536059,45.7195545,14.6597
9006668,349.2310814,-18.6066463,9.926601
230055368,170.3135774,25.2732942,11.6196
299218775,289.3586737,50.5984489,12.9171
101955023,153.7090696,-47.1549358,10.8372
245392284,38.3691648,56.025708,11.9004
160045097,213.0787718,74.4117909,11.3069
271164596,294.613689,45.9846265,14.841
377293776,286.8540627,59.0866254,10.0306
354619337,317.5515264,10.7388967,8.08821
159217349,290.007564,42.1164698,14.4221
444013020,133.3242982,8.5230171,11.302
210083929,339.2050832,16.8271941,10.5581
388104525,55.9336392,-65.19378,11.6035
388076422,317.9001392,68.4020762,13.2297
272084528,296.0756231,45.6270165,14.9945
158276273,286.5284924,43.8733751,13.5146
290742484,307.4182976,-39.0323568,13.546
289661991,139.1125648,69.0741284,11.5817
123496782,282.6998783,45.4257884,11.5719
137217372,291.5569554,39.2272923,13.544
422756130,21.9217346,72.2966148,11.0294
198108326,209.3886452,43.49331,11.7551
158489095,287.3469567,47.7729078,13.2115
270521439,293.4548441,44.7927823,14.5768
369455629,311.673345,-41.8209828,11.4513
158840095,288.8314251,47.5519753,13.3037
122712179,291.1528056,40.8876814,13.8791
159098316,289.6079433,44.3454347,13.4231
151825527,167.9908627,-39.3281151,11.6739
138222081,293.7084179,41.6151084,14.1835
138168780,94.7929552,73.8275672,9.88278
162922904,171.8450533,-44.0887035,12.0233
378085713,294.6552312,39.3083446,15.1748
48451562,284.8713893,49.7758867,15.3655
327369524,4.5239602,59.7661983,11.3864
69356857,294.3374248,35.2764934,11.7791
402828941,305.4585453,19.4358468,12.1444
4165850,114.6393985,31.3944536,10.187
27188610,294.5177291,50.6703927,14.2726
123231917,281.1117588,42.4549698,14.3245
272083644,296.0422962,45.98514,14.3925
171968443,299.1868586,41.742699,14.727
458419328,130.9002258,63.0780768,12.4963
26583640,292.0847866,49.2374206,13.6112
394357918,43.8284749,-79.4147039,14.2612
411608801,18.9953122,21.6169065,10.3002
164529393,283.4781717,43.3837235,14.7353
424867045,292.5308289,49.0616555,12.8689
416266465,289.4858423,50.9441967,12.9266
271159950,294.6679021,43.8532104,13.9508
349827430,161.9090273,71.655727,7.9179
272601375,296.6547477,46.8352242,13.1969
272278272,296.2776587,46.8998006,13.5344
123409401,281.9156128,42.7755535,11.5855
302908969,110.4601649,35.2219829,12.1765
271354748,294.9115874,46.4914718,12.2748
318022259,107.865826,48.3279327,10.3595
34077285,94.1644734,-13.987337,9.2563
63130782,292.1445534,47.1573604,15.0916
160113658,59.4555606,-41.6320332,12.1142
272840455,296.8136883,47.5265446,14.1348
121865123,289.0739641,40.3660239,12.8479
232967440,197.6830975,70.7680117,10.2938
122063843,289.4179128,39.9450757,12.8312
23769326,208.9447534,40.3918061,12.3342
166184428,206.1070129,-40.3373505,11.0196
48506505,285.2685283,48.5598835,11.8933
158630233,287.8793899,43.3640752,15.2965
14336130,105.0833291,56.8241941,8.82897
8516795,279.1701117,23.2586193,10.5527
48353902,283.7870875,48.0296019,13.2444
240178935,293.0377331,46.2775223,12.7978
273590427,297.8423073,46.5743595,14.8153
273383120,297.7119299,45.261985,12.9485
164779321,284.6772402,44.7976401,14.7256
29857954,316.6318791,-26.6928654,10.7379
138959504,295.0020771,39.9528613,13.7392
137307173,291.4994412,37.0592571,14.6677
158625100,287.9060885,46.9377479,14.5083
237222864,296.2446203,74.0628577,9.1416
262715204,349.3843458,1.3001522,11.2451
63362772,292.58042,46.0973588,14.524
435339558,55.2559307,13.5191871,11.2235
328934463,205.2043217,22.9839692,10.9687
137155210,291.4688524,40.3437001,12.5199
137892978,292.9227926,38.4772173,14.5312
279912260,285.8223636,45.7118423,15.0115
267669725,289.8589165,48.6938077,15.0254
121458206,287.9757213,39.087168,13.4473
27912642,296.8534096,50.0373196,14.5562
158935283,289.0775348,46.0051696,13.518
37749396,4.7730178,-9.9661505,8.4991
48419097,283.982904,49.2329512,13.7958
26488618,291.6594558,50.5838585,15.1411
267667295,284.4334642,49.3051239,13.3396
123445166,282.2130447,46.7177898,12.8615
27082352,294.3385109,50.3365178,14.7468
184471242,296.3586251,39.1152033,14.3672
27766705,296.0094827,50.4983929,15.1355
137317096,291.6994841,38.1452065,13.6048
272489533,296.5662171,44.1058077,14.6847
271165395,294.6481708,46.3923173,15.3229
270959184,294.3262617,47.2175461,15.0586
63453366,292.8698348,46.7418679,14.916
27009720,293.8902214,48.3360926,15.2021
159304741,290.2481023,44.4352935,13.7674
121327187,287.6550196,39.2441716,11.4794
164886497,285.1104819,42.0339619,14.4611
158317824,286.7418337,43.1901197,15.2785
240179452,293.0181882,45.9147063,14.8436
158415898,287.3327284,46.2034366,13.4636
268302011,298.8163801,43.9980203,12.5083
137626872,292.4172566,41.4168384,12.9667
120044687,283.8664285,39.8981928,14.3966
92226327,11.248632,-15.2741085,11.2991
275568400,293.2936129,42.1963497,15.3983
444037742,133.7094899,11.8482712,12.986
273141643,297.3012497,43.1418313,14.6977
63068329,291.8629793,46.4291614,14.1478
178246831,127.9373409,19.0745863,13.6324
159715997,291.2697354,42.0960305,15.3801
