target,tic_id,sectors
TIC 24695556,24695556,95
TIC 24695715,24695715,95
TIC 24695725,24695725,95
TIC 24704814,24704814,95
TIC 24704862,24704862,95
TIC 24704868,24704868,95
TIC 24705240,24705240,95
TIC 24705556,24705556,95
TIC 24705587,24705587,95
TIC 24749881,24749881,95
TIC 24750464,24750464,95
TIC 25065357,25065357,95
TIC 25136499,25136499,95
TIC 25136560,25136560,95
TIC 25136895,25136895,95
TIC 25137423,25137423,95
TIC 25200252,25200252,95
TIC 25202805,25202805,95
TIC 25203094,25203094,95
TIC 25225977,25225977,95
TIC 25229301,25229301,95
TIC 25229462,25229462,95
TIC 25229956,25229956,95
TIC 25230196,25230196,95
TIC 25230545,25230545,95
TIC 25242860,25242860,95
TIC 25245547,25245547,95
TIC 25245570,25245570,95
TIC 25245922,25245922,95
TIC 25246676,25246676,95
TIC 25282940,25282940,95
TIC 25300088,25300088,95
TIC 25300673,25300673,95
TIC 25350244,25350244,95
TIC 25351345,25351345,95
TIC 25351750,25351750,95
TIC 25355566,25355566,95
TIC 25358020,25358020,95
TIC 25375553,25375553,95
TIC 25375770,25375770,95
TIC 25375915,25375915,95
TIC 29189037,29189037,95
TIC 29253938,29253938,95
TIC 29260474,29260474,95
TIC 29281992,29281992,95
TIC 29344151,29344151,95
TIC 29344935,29344935,95
TIC 29388651,29388651,95
TIC 29430403,29430403,95
TIC 29430954,29430954,95
TIC 29432055,29432055,95
TIC 29433169,29433169,95
TIC 29475080,29475080,95
TIC 29475293,29475293,95
TIC 29478974,29478974,95
TIC 29492932,29492932,95
TIC 29493647,29493647,95
TIC 29495621,29495621,95
TIC 29499461,29499461,95
TIC 29543573,29543573,95
TIC 29545619,29545619,95
TIC 29583588,29583588,95
TIC 29634122,29634122,95
TIC 29635223,29635223,95
TIC 29638934,29638934,95
TIC 29639766,29639766,95
TIC 29640163,29640163,95
TIC 29668059,29668059,95
TIC 29670036,29670036,95
TIC 29671013,29671013,95
TIC 29716213,29716213,95
TIC 29720182,29720182,95
TIC 29722063,29722063,95
TIC 29753609,29753609,95
TIC 29758639,29758639,95
TIC 29778632,29778632,95
TIC 29821374,29821374,95
TIC 29821613,29821613,95
TIC 29821723,29821723,95
TIC 29822192,29822192,95
TIC 29825720,29825720,95
TIC 29840077,29840077,95
TIC 29857954,29857954,95
TIC 29859905,29859905,95
TIC 29861079,29861079,95
TIC 30716707,30716707,95
TIC 30721709,30721709,95
TIC 31190175,31190175,95
TIC 31408736,31408736,95
TIC 31656385,31656385,95
TIC 31673724,31673724,95
TIC 31781476,31781476,95
TIC 31814318,31814318,95
TIC 31815976,31815976,95
TIC 31853868,31853868,95
TIC 31926908,31926908,95
TIC 31929243,31929243,95
TIC 32050841,32050841,95
TIC 32068905,32068905,95
TIC 32070293,32070293,95
TIC 32091843,32091843,95
TIC 32091861,32091861,95
TIC 32093133,32093133,95
TIC 32152148,32152148,95
TIC 32154421,32154421,95
TIC 32154680,32154680,95
TIC 32155510,32155510,95
TIC 32176064,32176064,95
TIC 32177534,32177534,95
TIC 32177749,32177749,95
TIC 32179255,32179255,95
TIC 32197094,32197094,95
TIC 32197508,32197508,95
TIC 32199819,32199819,95
TIC 32199952,32199952,95
TIC 32200787,32200787,95
TIC 32207638,32207638,95
TIC 32207822,32207822,95
TIC 33717073,33717073,95
TIC 33734517,33734517,95
TIC 33768087,33768087,95
TIC 33834757,33834757,95
TIC 33837062,33837062,95
TIC 33837347,33837347,95
TIC 33837441,33837441,95
TIC 33862296,33862296,95
TIC 33876746,33876746,95
TIC 33876815,33876815,95
TIC 33877176,33877176,95
TIC 33877338,33877338,95
TIC 33877401,33877401,95
TIC 33877402,33877402,95
TIC 33878472,33878472,95
TIC 33878549,33878549,95
TIC 33881250,33881250,95
TIC 38396389,38396389,95
TIC 38396606,38396606,95
TIC 38396965,38396965,95
TIC 38424405,38424405,95
TIC 38425450,38425450,95
TIC 38460465,38460465,95
TIC 38466803,38466803,95
TIC 38467100,38467100,95
TIC 38506944,38506944,95
TIC 38507576,38507576,95
TIC 38510577,38510577,95
TIC 38518773,38518773,95
TIC 38573584,38573584,95
TIC 38573641,38573641,95
TIC 38584430,38584430,95
TIC 38585926,38585926,95
TIC 38633112,38633112,95
TIC 38806360,38806360,95
TIC 38820496,38820496,95
TIC 38823638,38823638,95
TIC 38823926,38823926,95
TIC 38833347,38833347,95
TIC 38833722,38833722,95
TIC 38836460,38836460,95
TIC 38836966,38836966,95
TIC 38849177,38849177,95
TIC 38849211,38849211,95
TIC 38877685,38877685,95
TIC 38898414,38898414,95
TIC 38899346,38899346,95
TIC 38936862,38936862,95
TIC 38937366,38937366,95
TIC 38951568,38951568,95
TIC 38952079,38952079,95
TIC 38964719,38964719,95
TIC 38965396,38965396,95
TIC 38965512,38965512,95
TIC 38965606,38965606,95
TIC 38965733,38965733,95
TIC 39018408,39018408,95
TIC 39018421,39018421,95
TIC 39018923,39018923,95
TIC 39069406,39069406,95
TIC 39070579,39070579,95
TIC 39080548,39080548,95
TIC 39080654,39080654,95
TIC 39080923,39080923,95
TIC 39081002,39081002,95
TIC 39081816,39081816,95
TIC 41459777,41459777,95
TIC 44565276,44565276,95
TIC 44577692,44577692,95
TIC 44578210,44578210,95
TIC 44625967,44625967,95
TIC 44626245,44626245,95
TIC 44628526,44628526,95
TIC 50272813,50272813,95
TIC 50386229,50386229,95
TIC 50440750,50440750,95
TIC 50443307,50443307,95
TIC 51912829,51912829,95
TIC 51912972,51912972,95
TIC 51935249,51935249,95
TIC 51938533,51938533,95
TIC 51991640,51991640,95
TIC 51992761,51992761,95
TIC 52059209,52059209,95
TIC 52059631,52059631,95
TIC 52059926,52059926,95
TIC 52076262,52076262,95
TIC 52078744,52078744,95
TIC 52079311,52079311,95
TIC 52079970,52079970,95
TIC 52120817,52120817,95
TIC 52121469,52121469,95
TIC 52121796,52121796,95
TIC 52121848,52121848,95
TIC 52122434,52122434,95
TIC 52153067,52153067,95
TIC 52153236,52153236,95
TIC 52155554,52155554,95
TIC 52194638,52194638,95
TIC 52194976,52194976,95
TIC 52194985,52194985,95
TIC 52195270,52195270,95
TIC 52195587,52195587,95
TIC 52195649,52195649,95
TIC 52195664,52195664,95
TIC 52195943,52195943,95
TIC 52204645,52204645,95
TIC 52205160,52205160,95
TIC 52242834,52242834,95
TIC 52243332,52243332,95
TIC 52243950,52243950,95
TIC 52244325,52244325,95
TIC 52245547,52245547,95
TIC 52256502,52256502,95
TIC 52257050,52257050,95
TIC 52257419,52257419,95
TIC 52285526,52285526,95
TIC 52286077,52286077,95
TIC 52307802,52307802,95
TIC 52308707,52308707,95
TIC 52311914,52311914,95
TIC 52315037,52315037,95
TIC 52315301,52315301,95
TIC 52365176,52365176,95
TIC 52367475,52367475,95
TIC 52367502,52367502,95
TIC 52368076,52368076,95
TIC 52381685,52381685,95
TIC 52383186,52383186,95
TIC 52383387,52383387,95
TIC 52383559,52383559,95
TIC 52383730,52383730,95
TIC 53724617,53724617,95
TIC 53725424,53725424,95
TIC 53725529,53725529,95
TIC 53726408,53726408,95
TIC 53750498,53750498,95
TIC 53752781,53752781,95
TIC 53753906,53753906,95
TIC 53780976,53780976,95
TIC 53781033,53781033,95
TIC 53782107,53782107,95
TIC 53782702,53782702,95
TIC 53783180,53783180,95
TIC 53784680,53784680,95
TIC 53811099,53811099,95
TIC 53811555,53811555,95
TIC 53812109,53812109,95
TIC 53840258,53840258,95
TIC 53841729,53841729,95
TIC 53842087,53842087,95
TIC 53842668,53842668,95
TIC 53843023,53843023,95
TIC 53849347,53849347,95
TIC 53850195,53850195,95
TIC 53850928,53850928,95
TIC 53851007,53851007,95
TIC 53894450,53894450,95
TIC 53894830,53894830,95
TIC 53895115,53895115,95
TIC 53897002,53897002,95
TIC 53938218,53938218,95
TIC 53939120,53939120,95
TIC 53939726,53939726,95
TIC 53939891,53939891,95
TIC 53940519,53940519,95
TIC 53950266,53950266,95
TIC 53952985,53952985,95
TIC 53976522,53976522,95
TIC 53977647,53977647,95
TIC 53978222,53978222,95
TIC 53991812,53991812,95
TIC 53992511,53992511,95
TIC 53992729,53992729,95
TIC 53992917,53992917,95
TIC 53993782,53993782,95
TIC 53994275,53994275,95
TIC 55270688,55270688,95
TIC 55270702,55270702,95
TIC 55271890,55271890,95
TIC 55271891,55271891,95
TIC 55272070,55272070,95
TIC 55272118,55272118,95
TIC 55295028,55295028,95
TIC 55295030,55295030,95
TIC 55297416,55297416,95
TIC 55367907,55367907,95
TIC 55369410,55369410,95
TIC 55369456,55369456,95
TIC 55402208,55402208,95
TIC 55402324,55402324,95
TIC 55450286,55450286,95
TIC 55476774,55476774,95
TIC 55497082,55497082,95
TIC 55497209,55497209,95
TIC 55497265,55497265,95
TIC 55497266,55497266,95
TIC 55497281,55497281,95
TIC 55501614,55501614,95
TIC 55501960,55501960,95
TIC 55525518,55525518,95
TIC 55525557,55525557,95
TIC 55525572,55525572,95
TIC 55557707,55557707,95
TIC 55557836,55557836,95
