target,tic_id,sectors
TIC 589445,589445,98
TIC 589448,589448,98
TIC 589826,589826,98
TIC 589906,589906,98
TIC 590274,590274,98
TIC 592638,592638,98
TIC 594723,594723,98
TIC 595279,595279,98
TIC 608932,608932,98
TIC 609330,609330,98
TIC 610232,610232,98
TIC 610481,610481,98
TIC 610482,610482,98
TIC 611150,611150,98
TIC 612870,612870,98
TIC 613374,613374,98
TIC 614129,614129,98
TIC 614556,614556,98
TIC 615133,615133,98
TIC 624458,624458,98
TIC 624460,624460,98
TIC 626529,626529,98
TIC 627018,627018,98
TIC 627296,627296,98
TIC 663735,663735,98
TIC 672060,672060,98
TIC 672614,672614,98
TIC 672624,672624,98
TIC 674490,674490,98
TIC 681678,681678,98
TIC 682778,682778,98
TIC 683071,683071,98
TIC 684070,684070,98
TIC 684071,684071,98
TIC 709603,709603,98
TIC 710187,710187,98
TIC 711914,711914,98
TIC 736554,736554,98
TIC 740069,740069,98
TIC 767526,767526,98
TIC 767943,767943,98
TIC 768070,768070,98
TIC 770004,770004,98
TIC 770554,770554,98
TIC 770660,770660,98
TIC 770819,770819,98
TIC 770820,770820,98
TIC 778358,778358,98
TIC 778665,778665,98
TIC 778852,778852,98
TIC 1167538,1167538,98
TIC 1167653,1167653,98
TIC 1168117,1168117,98
TIC 1196437,1196437,98
TIC 1196529,1196529,98
TIC 1196779,1196779,98
TIC 1197247,1197247,98
TIC 1197421,1197421,98
TIC 1198195,1198195,98
TIC 1198988,1198988,98
TIC 1199184,1199184,98
TIC 1199185,1199185,98
TIC 1218885,1218885,98
TIC 1218962,1218962,98
TIC 1219543,1219543,98
TIC 1223040,1223040,98
TIC 1223574,1223574,98
TIC 1224672,1224672,98
TIC 1224695,1224695,98
TIC 1233421,1233421,98
TIC 1235623,1235623,98
TIC 1251231,1251231,98
TIC 1251436,1251436,98
TIC 1252771,1252771,98
TIC 1252996,1252996,98
TIC 1271818,1271818,98
TIC 1272684,1272684,98
TIC 1274216,1274216,98
TIC 1274876,1274876,98
TIC 1308855,1308855,98
TIC 1309019,1309019,98
TIC 1309335,1309335,98
TIC 1309343,1309343,98
TIC 1312638,1312638,98
TIC 1333933,1333933,98
TIC 1333943,1333943,98
TIC 1334395,1334395,98
TIC 1334706,1334706,98
TIC 1335010,1335010,98
TIC 1335183,1335183,98
TIC 1354894,1354894,98
TIC 1356755,1356755,98
TIC 1357036,1357036,98
TIC 1357038,1357038,98
TIC 1364042,1364042,98
TIC 1365293,1365293,98
TIC 1367860,1367860,98
TIC 1367862,1367862,98
TIC 1395853,1395853,98
TIC 1395857,1395857,98
TIC 1396359,1396359,98
TIC 1396655,1396655,98
TIC 1396903,1396903,98
TIC 1398159,1398159,98
TIC 1398422,1398422,98
TIC 1398498,1398498,98
TIC 1399339,1399339,98
TIC 1399775,1399775,98
TIC 1437448,1437448,98
TIC 1438316,1438316,98
TIC 1439071,1439071,98
TIC 1439586,1439586,98
TIC 1439587,1439587,98
TIC 1440684,1440684,98
TIC 1441057,1441057,98
TIC 1441682,1441682,98
TIC 1449640,1449640,98
TIC 1449937,1449937,98
TIC 1450147,1450147,98
TIC 1450635,1450635,98
TIC 1450658,1450658,98
TIC 1517285,1517285,98
TIC 1517288,1517288,98
TIC 1517398,1517398,98
TIC 1518580,1518580,98
TIC 1518944,1518944,98
TIC 1519402,1519402,98
TIC 1520702,1520702,98
TIC 1520948,1520948,98
TIC 1521078,1521078,98
TIC 1526470,1526470,98
TIC 1527618,1527618,98
TIC 1528696,1528696,98
TIC 1529712,1529712,98
TIC 1534458,1534458,98
TIC 4010174,4010174,98
TIC 4010319,4010319,98
TIC 4011607,4011607,98
TIC 4012135,4012135,98
TIC 4068160,4068160,98
TIC 4068716,4068716,98
TIC 4068779,4068779,98
TIC 4069215,4069215,98
TIC 4069299,4069299,98
TIC 4069456,4069456,98
TIC 4069670,4069670,98
TIC 4070412,4070412,98
TIC 4070682,4070682,98
TIC 4071554,4071554,98
TIC 4109575,4109575,98
TIC 4112217,4112217,98
TIC 4113275,4113275,98
TIC 4116246,4116246,98
TIC 4116565,4116565,98
TIC 4117551,4117551,98
TIC 4154938,4154938,98
TIC 4156159,4156159,98
TIC 4157251,4157251,98
TIC 4157693,4157693,98
TIC 4202787,4202787,98
TIC 4203084,4203084,98
TIC 4204015,4204015,98
TIC 4205592,4205592,98
TIC 4205785,4205785,98
TIC 4206836,4206836,98
TIC 4207102,4207102,98
TIC 4207190,4207190,98
TIC 4207261,4207261,98
TIC 4207743,4207743,98
TIC 4207747,4207747,98
TIC 4250281,4250281,98
TIC 4254270,4254270,98
TIC 4255638,4255638,98
