target,tic_id,sectors
TIC 779276,779276,99
TIC 779824,779824,99
TIC 816793,816793,99
TIC 816939,816939,99
TIC 817823,817823,99
TIC 820148,820148,99
TIC 820363,820363,99
TIC 821838,821838,99
TIC 860419,860419,99
TIC 862047,862047,99
TIC 863860,863860,99
TIC 885808,885808,99
TIC 890962,890962,99
TIC 892149,892149,99
TIC 894262,894262,99
TIC 916498,916498,99
TIC 918893,918893,99
TIC 919245,919245,99
TIC 972858,972858,99
TIC 1003831,1003831,99
TIC 1004005,1004005,99
TIC 1005021,1005021,99
TIC 1031929,1031929,99
TIC 1033135,1033135,99
TIC 1038216,1038216,99
TIC 1038605,1038605,99
TIC 1039707,1039707,99
TIC 1084245,1084245,99
TIC 1103432,1103432,99
TIC 1107885,1107885,99
TIC 1137448,1137448,99
TIC 1138567,1138567,99
TIC 1139748,1139748,99
TIC 1190934,1190934,99
TIC 1191321,1191321,99
TIC 1193387,1193387,99
TIC 1194496,1194496,99
TIC 1228170,1228170,99
TIC 1232360,1232360,99
TIC 1232485,1232485,99
TIC 1258971,1258971,99
TIC 1259961,1259961,99
TIC 1260235,1260235,99
TIC 1261860,1261860,99
TIC 1267523,1267523,99
TIC 1338424,1338424,99
TIC 1340650,1340650,99
TIC 1349312,1349312,99
TIC 1352449,1352449,99
TIC 1359495,1359495,99
TIC 1360104,1360104,99
TIC 1399933,1399933,99
TIC 1401516,1401516,99
TIC 1402874,1402874,99
TIC 1441866,1441866,99
TIC 1441869,1441869,99
TIC 1442449,1442449,99
TIC 1446147,1446147,99
TIC 1472576,1472576,99
TIC 1474501,1474501,99
TIC 1503583,1503583,99
TIC 1538422,1538422,99
TIC 1540365,1540365,99
TIC 1573395,1573395,99
TIC 1595346,1595346,99
TIC 1599403,1599403,99
TIC 1601975,1601975,99
TIC 1602970,1602970,99
TIC 1602977,1602977,99
TIC 1604036,1604036,99
TIC 1604040,1604040,99
TIC 1605355,1605355,99
TIC 1607962,1607962,99
TIC 1622841,1622841,99
TIC 1647071,1647071,99
TIC 1648669,1648669,99
TIC 1677334,1677334,99
TIC 1678825,1678825,99
TIC 1678913,1678913,99
TIC 1679132,1679132,99
TIC 1689556,1689556,99
TIC 1738861,1738861,99
TIC 1740238,1740238,99
TIC 1818589,1818589,99
TIC 1868257,1868257,99
TIC 1968583,1968583,99
TIC 1969495,1969495,99
TIC 1973623,1973623,99
TIC 2020365,2020365,99
TIC 2020964,2020964,99
TIC 2021531,2021531,99
TIC 2084703,2084703,99
TIC 2088340,2088340,99
TIC 2092122,2092122,99
TIC 2094712,2094712,99
TIC 2132354,2132354,99
TIC 2133062,2133062,99
TIC 2133065,2133065,99
TIC 2140147,2140147,99
TIC 2220684,2220684,99
TIC 2220688,2220688,99
TIC 2224747,2224747,99
TIC 2224750,2224750,99
TIC 2225329,2225329,99
TIC 2226189,2226189,99
TIC 2241706,2241706,99
TIC 2251147,2251147,99
TIC 2350053,2350053,99
TIC 2397505,2397505,99
TIC 2886071,2886071,99
TIC 2886586,2886586,99
TIC 2961372,2961372,99
TIC 2962605,2962605,99
TIC 2972571,2972571,99
TIC 3120302,3120302,99
TIC 3233467,3233467,99
TIC 3233861,3233861,99
TIC 3296473,3296473,99
TIC 3296905,3296905,99
TIC 3298844,3298844,99
TIC 3356565,3356565,99
TIC 3359004,3359004,99
TIC 3443498,3443498,99
TIC 3444583,3444583,99
TIC 3448013,3448013,99
TIC 3513817,3513817,99
TIC 3516034,3516034,99
TIC 3520950,3520950,99
TIC 3522887,3522887,99
TIC 3840990,3840990,99
TIC 3849122,3849122,99
TIC 3915541,3915541,99
TIC 3918675,3918675,99
TIC 3920375,3920375,99
TIC 3995093,3995093,99
TIC 3996132,3996132,99
TIC 4000387,4000387,99
TIC 4001749,4001749,99
TIC 4002114,4002114,99
TIC 4102368,4102368,99
TIC 4261575,4261575,99
TIC 4261594,4261594,99
TIC 4264922,4264922,99
TIC 4342429,4342429,99
TIC 4346726,4346726,99
TIC 4413597,4413597,99
TIC 4422468,4422468,99
TIC 4505773,4505773,99
TIC 4506340,4506340,99
TIC 4509067,4509067,99
TIC 4588120,4588120,99
TIC 4598935,4598935,99
TIC 4636920,4636920,99
TIC 4727022,4727022,99
TIC 4729001,4729001,99
TIC 4734401,4734401,99
TIC 4737360,4737360,99
TIC 4807101,4807101,99
TIC 4809705,4809705,99
TIC 4814256,4814256,99
TIC 4847760,4847760,99
TIC 4959676,4959676,99
TIC 4966166,4966166,99
TIC 4970499,4970499,99
TIC 5091836,5091836,99
TIC 5095070,5095070,99
TIC 5096718,5096718,99
TIC 5158536,5158536,99
