target,tic_id,sectors
TIC 6351409,6351409,104
TIC 6401932,6401932,104
TIC 6407395,6407395,104
TIC 6408199,6408199,104
TIC 6408204,6408204,104
TIC 6475135,6475135,104
TIC 6475141,6475141,104
TIC 6476713,6476713,104
TIC 6521913,6521913,104
TIC 6522185,6522185,104
TIC 6526912,6526912,104
TIC 6665299,6665299,104
TIC 6669491,6669491,104
TIC 6726903,6726903,104
TIC 6728246,6728246,104
TIC 6765125,6765125,104
TIC 6944733,6944733,104
TIC 6945896,6945896,104
TIC 6946549,6946549,104
TIC 6948702,6948702,104
TIC 7010715,7010715,104
TIC 7012343,7012343,104
TIC 7016501,7016501,104
TIC 7083633,7083633,104
TIC 7187146,7187146,104
TIC 7187543,7187543,104
TIC 15644631,15644631,104
TIC 15869328,15869328,104
TIC 16010965,16010965,104
TIC 16025709,16025709,104
TIC 16139170,16139170,104
TIC 16229246,16229246,104
TIC 16230982,16230982,104
TIC 16245795,16245795,104
TIC 16439077,16439077,104
TIC 16580177,16580177,104
TIC 16899399,16899399,104
TIC 16901876,16901876,104
TIC 16909043,16909043,104
TIC 17009943,17009943,104
TIC 17153995,17153995,104
TIC 17154445,17154445,104
TIC 17163182,17163182,104
TIC 17167707,17167707,104
TIC 17265411,17265411,104
TIC 17266747,17266747,104
TIC 17267566,17267566,104
TIC 17268407,17268407,104
TIC 17389404,17389404,104
TIC 17395858,17395858,104
TIC 17399504,17399504,104
TIC 17499007,17499007,104
TIC 17508379,17508379,104
TIC 17509396,17509396,104
TIC 17632938,17632938,104
TIC 17639611,17639611,104
TIC 21248794,21248794,104
TIC 21254589,21254589,104
TIC 21364201,21364201,104
TIC 21365473,21365473,104
TIC 21466050,21466050,104
TIC 21466698,21466698,104
TIC 21467590,21467590,104
TIC 21467597,21467597,104
TIC 21468359,21468359,104
TIC 21470557,21470557,104
TIC 21604809,21604809,104
TIC 21608784,21608784,104
TIC 21668153,21668153,104
TIC 21681319,21681319,104
TIC 21699140,21699140,104
TIC 21702220,21702220,104
TIC 21779389,21779389,104
TIC 21781185,21781185,104
TIC 21881940,21881940,104
TIC 21883648,21883648,104
TIC 21999706,21999706,104
TIC 22094128,22094128,104
TIC 22094130,22094130,104
TIC 22293200,22293200,104
TIC 22295632,22295632,104
TIC 22302186,22302186,104
TIC 22306518,22306518,104
TIC 22411379,22411379,104
TIC 22486217,22486217,104
TIC 22486227,22486227,104
TIC 22489734,22489734,104
TIC 22493393,22493393,104
TIC 22573863,22573863,104
TIC 22692630,22692630,104
TIC 22693357,22693357,104
TIC 22701598,22701598,104
TIC 22997200,22997200,104
TIC 23108331,23108331,104
TIC 23205270,23205270,104
TIC 23205275,23205275,104
TIC 23205280,23205280,104
TIC 23211639,23211639,104
TIC 23318705,23318705,104
TIC 23318790,23318790,104
TIC 23321884,23321884,104
TIC 23322116,23322116,104
TIC 23406439,23406439,104
TIC 23408630,23408630,104
TIC 23482015,23482015,104
TIC 23496010,23496010,104
TIC 23588322,23588322,104
TIC 23591901,23591901,104
TIC 23592170,23592170,104
TIC 23595159,23595159,104
TIC 23596779,23596779,104
TIC 23817498,23817498,104
TIC 23817895,23817895,104
TIC 23828604,23828604,104
TIC 23924218,23924218,104
TIC 24014740,24014740,104
TIC 24019331,24019331,104
TIC 24221393,24221393,104
TIC 24316617,24316617,104
TIC 24410370,24410370,104
TIC 24486352,24486352,104
TIC 24486370,24486370,104
TIC 25590004,25590004,104
TIC 26090948,26090948,104
TIC 26783255,26783255,104
TIC 27357357,27357357,104
TIC 27357430,27357430,104
TIC 27947413,27947413,104
TIC 28613372,28613372,104
TIC 30012490,30012490,104
TIC 30086694,30086694,104
TIC 30090477,30090477,104
TIC 30214880,30214880,104
TIC 30226697,30226697,104
TIC 30450412,30450412,104
TIC 30549737,30549737,104
TIC 30550230,30550230,104
TIC 30669855,30669855,104
TIC 30670601,30670601,104
TIC 30775341,30775341,104
TIC 31004742,31004742,104
TIC 31013316,31013316,104
TIC 31015718,31015718,104
TIC 31023591,31023591,104
TIC 31122542,31122542,104
TIC 31123761,31123761,104
TIC 31199501,31199501,104
TIC 31201015,31201015,104
TIC 31202047,31202047,104
TIC 31206075,31206075,104
TIC 31207306,31207306,104
TIC 31209947,31209947,104
TIC 31210706,31210706,104
TIC 31211600,31211600,104
TIC 31211609,31211609,104
TIC 31213193,31213193,104
TIC 31324818,31324818,104
TIC 31417574,31417574,104
TIC 31419174,31419174,104
TIC 31566952,31566952,104
TIC 31571991,31571991,104
TIC 31573451,31573451,104
TIC 31660898,31660898,104
TIC 31662191,31662191,104
TIC 31663387,31663387,104
TIC 31670632,31670632,104
TIC 31749587,31749587,104
TIC 31749599,31749599,104
TIC 31751364,31751364,104
TIC 31752971,31752971,104
TIC 31753640,31753640,104
TIC 31757325,31757325,104
TIC 31757508,31757508,104
TIC 31757969,31757969,104
TIC 31879447,31879447,104
TIC 32017256,32017256,104
TIC 32020663,32020663,104
TIC 32139092,32139092,104
TIC 32211248,32211248,104
TIC 32211383,32211383,104
TIC 32214841,32214841,104
TIC 32215148,32215148,104
TIC 32218553,32218553,104
TIC 32221603,32221603,104
TIC 32223793,32223793,104
TIC 32224608,32224608,104
TIC 32307067,32307067,104
TIC 32318893,32318893,104
TIC 32319273,32319273,104
TIC 32320754,32320754,104
TIC 32322122,32322122,104
TIC 32324283,32324283,104
TIC 32325612,32325612,104
TIC 32326446,32326446,104
