target,tic_id,sectors
TIC 1456471,1456471,103
TIC 1871365,1871365,103
TIC 2322864,2322864,103
TIC 2323229,2323229,103
TIC 2743109,2743109,103
TIC 2924643,2924643,103
TIC 2926575,2926575,103
TIC 2929308,2929308,103
TIC 2929964,2929964,103
TIC 2998220,2998220,103
TIC 2999849,2999849,103
TIC 3084057,3084057,103
TIC 3084844,3084844,103
TIC 3178710,3178710,103
TIC 3239564,3239564,103
TIC 3243257,3243257,103
TIC 3412422,3412422,103
TIC 3424849,3424849,103
TIC 3528956,3528956,103
TIC 3649916,3649916,103
TIC 3650509,3650509,103
TIC 3650784,3650784,103
TIC 3657908,3657908,103
TIC 3728481,3728481,103
TIC 3731746,3731746,103
TIC 3828928,3828928,103
TIC 3834439,3834439,103
TIC 3834874,3834874,103
TIC 3926262,3926262,103
TIC 3938364,3938364,103
TIC 4050156,4050156,103
TIC 4050661,4050661,103
TIC 4061225,4061225,103
TIC 4307367,4307367,103
TIC 4307559,4307559,103
TIC 4313704,4313704,103
TIC 4392712,4392712,103
TIC 4394070,4394070,103
TIC 4400550,4400550,103
TIC 4402406,4402406,103
TIC 4404604,4404604,103
TIC 4471586,4471586,103
TIC 4534239,4534239,103
TIC 5331536,5331536,103
TIC 5741908,5741908,103
TIC 5746604,5746604,103
TIC 6185136,6185136,103
TIC 6631253,6631253,103
TIC 7038369,7038369,103
TIC 7043322,7043322,103
TIC 7146752,7146752,103
TIC 7147484,7147484,103
TIC 7725924,7725924,103
TIC 7949784,7949784,103
TIC 7950617,7950617,103
TIC 7951228,7951228,103
TIC 7951703,7951703,103
TIC 7952882,7952882,103
TIC 8012514,8012514,103
TIC 8012520,8012520,103
TIC 8159414,8159414,103
TIC 8159415,8159415,103
TIC 8162742,8162742,103
TIC 8163258,8163258,103
TIC 8163483,8163483,103
TIC 8285625,8285625,103
TIC 8373635,8373635,103
TIC 8373638,8373638,103
TIC 8373961,8373961,103
TIC 8417638,8417638,103
TIC 8418378,8418378,103
TIC 8419033,8419033,103
TIC 8420443,8420443,103
TIC 8511113,8511113,103
TIC 8513057,8513057,103
TIC 9247779,9247779,103
TIC 9252368,9252368,103
TIC 9252390,9252390,103
TIC 11390674,11390674,103
TIC 11856739,11856739,103
TIC 11856757,11856757,103
TIC 11866782,11866782,103
TIC 11870198,11870198,103
TIC 12271447,12271447,103
TIC 12747481,12747481,103
TIC 13173449,13173449,103
TIC 13182985,13182985,103
TIC 14471019,14471019,103
TIC 14572482,14572482,103
TIC 14698209,14698209,103
TIC 14782377,14782377,103
TIC 14791349,14791349,103
TIC 14796478,14796478,103
TIC 14935645,14935645,103
TIC 14939457,14939457,103
TIC 15161212,15161212,103
TIC 15166556,15166556,103
TIC 15263641,15263641,103
TIC 15346334,15346334,103
TIC 15639897,15639897,103
TIC 16233564,16233564,103
TIC 16264917,16264917,103
TIC 16661754,16661754,103
TIC 16669266,16669266,103
TIC 17120248,17120248,103
TIC 17519911,17519911,103
TIC 17524877,17524877,103
TIC 17528840,17528840,103
TIC 18410615,18410615,103
TIC 18827544,18827544,103
TIC 21520117,21520117,103
TIC 21522516,21522516,103
TIC 21527567,21527567,103
TIC 21938862,21938862,103
TIC 22351385,22351385,103
TIC 23240109,23240109,103
TIC 23240345,23240345,103
TIC 23240716,23240716,103
TIC 24985783,24985783,103
TIC 25438778,25438778,103
TIC 25443511,25443511,103
TIC 26292113,26292113,103
TIC 26710806,26710806,103
TIC 27116725,27116725,103
TIC 28317917,28317917,103
TIC 28324536,28324536,103
TIC 28534859,28534859,103
TIC 28535117,28535117,103
TIC 28625452,28625452,103
TIC 28626498,28626498,103
TIC 28725672,28725672,103
TIC 28880779,28880779,103
TIC 28931161,28931161,103
TIC 29032885,29032885,103
TIC 29144356,29144356,103
TIC 29149209,29149209,103
TIC 29243246,29243246,103
TIC 29253292,29253292,103
TIC 29321953,29321953,103
TIC 29362377,29362377,103
TIC 29461634,29461634,103
TIC 29461636,29461636,103
TIC 29462212,29462212,103
TIC 29562411,29562411,103
TIC 29572009,29572009,103
TIC 29575355,29575355,103
TIC 29576257,29576257,103
TIC 29576345,29576345,103
TIC 29644486,29644486,103
TIC 29646757,29646757,103
TIC 29887635,29887635,103
TIC 29892257,29892257,103
TIC 29993983,29993983,103
TIC 29994190,29994190,103
TIC 30003888,30003888,103
TIC 30136789,30136789,103
TIC 30586988,30586988,103
TIC 31035500,31035500,103
TIC 31907957,31907957,103
TIC 32344300,32344300,103
TIC 32349057,32349057,103
TIC 33632923,33632923,103
TIC 35302284,35302284,103
TIC 35306400,35306400,103
TIC 35311214,35311214,103
TIC 35315453,35315453,103
TIC 35915438,35915438,103
TIC 35921606,35921606,103
TIC 35924556,35924556,103
TIC 36583537,36583537,103
TIC 36588473,36588473,103
TIC 36738472,36738472,103
TIC 36743524,36743524,103
TIC 37058275,37058275,103
TIC 37058342,37058342,103
TIC 37337815,37337815,103
TIC 37448578,37448578,103
TIC 37463935,37463935,103
TIC 37479080,37479080,103
TIC 37581272,37581272,103
TIC 37887026,37887026,103
TIC 38179688,38179688,103
TIC 38735751,38735751,103
TIC 38819934,38819934,103
TIC 38820440,38820440,103
TIC 38833595,38833595,103
TIC 38836626,38836626,103
TIC 38899425,38899425,103
TIC 39018208,39018208,103
TIC 39042934,39042934,103
TIC 39177520,39177520,103
TIC 39645962,39645962,103
TIC 39654517,39654517,103
TIC 39757462,39757462,103
TIC 39775024,39775024,103
TIC 40066259,40066259,103
TIC 40696037,40696037,103
TIC 41824612,41824612,103
