target,tic_id,sectors
TIC 1025507,1025507,97
TIC 1028586,1028586,97
TIC 1028594,1028594,97
TIC 1028614,1028614,97
TIC 1028751,1028751,97
TIC 1028794,1028794,97
TIC 1028795,1028795,97
TIC 1028816,1028816,97
TIC 1028829,1028829,97
TIC 1030004,1030004,97
TIC 1030078,1030078,97
TIC 1031299,1031299,97
TIC 1031383,1031383,97
TIC 1031421,1031421,97
TIC 1032642,1032642,97
TIC 1032644,1032644,97
TIC 1034048,1034048,97
TIC 1034389,1034389,97
TIC 1045526,1045526,97
TIC 1045737,1045737,97
TIC 1068428,1068428,97
TIC 1068955,1068955,97
TIC 1098205,1098205,97
TIC 1098494,1098494,97
TIC 1098952,1098952,97
TIC 1111717,1111717,97
TIC 1112857,1112857,97
TIC 1114066,1114066,97
TIC 1114115,1114115,97
TIC 1114345,1114345,97
TIC 1117332,1117332,97
TIC 1119071,1119071,97
TIC 1119096,1119096,97
TIC 1119294,1119294,97
TIC 1119459,1119459,97
TIC 1123472,1123472,97
TIC 1124942,1124942,97
TIC 1127460,1127460,97
TIC 1127571,1127571,97
TIC 1129777,1129777,97
TIC 1130183,1130183,97
TIC 1150453,1150453,97
TIC 3816260,3816260,97
TIC 3836756,3836756,97
TIC 3836983,3836983,97
TIC 3886485,3886485,97
TIC 3888550,3888550,97
TIC 3888769,3888769,97
TIC 3892205,3892205,97
TIC 3894294,3894294,97
TIC 3898381,3898381,97
TIC 3898553,3898553,97
TIC 3899410,3899410,97
TIC 3899738,3899738,97
TIC 3903299,3903299,97
TIC 3904628,3904628,97
TIC 3904662,3904662,97
TIC 3905906,3905906,97
TIC 3921576,3921576,97
TIC 3921746,3921746,97
TIC 3921762,3921762,97
TIC 3922529,3922529,97
TIC 3922848,3922848,97
TIC 3923889,3923889,97
TIC 3924509,3924509,97
TIC 3957601,3957601,97
TIC 3958684,3958684,97
TIC 3959220,3959220,97
TIC 3962869,3962869,97
TIC 3963507,3963507,97
TIC 3964964,3964964,97
TIC 3988388,3988388,97
TIC 3988400,3988400,97
TIC 3988401,3988401,97
TIC 3988786,3988786,97
TIC 3989422,3989422,97
TIC 3990402,3990402,97
TIC 3990629,3990629,97
TIC 3990686,3990686,97
TIC 4007712,4007712,97
TIC 4008073,4008073,97
TIC 4008098,4008098,97
TIC 4008174,4008174,97
TIC 4008360,4008360,97
TIC 4627123,4627123,97
TIC 4627575,4627575,97
TIC 7205332,7205332,97
TIC 7219876,7219876,97
TIC 7220927,7220927,97
TIC 7222091,7222091,97
TIC 7244910,7244910,97
TIC 7262234,7262234,97
TIC 7265098,7265098,97
TIC 7295738,7295738,97
TIC 10784960,10784960,97
TIC 10785357,10785357,97
TIC 10785492,10785492,97
TIC 10786436,10786436,97
TIC 10787001,10787001,97
TIC 10787002,10787002,97
TIC 10787084,10787084,97
TIC 10802452,10802452,97
TIC 10802503,10802503,97
TIC 10803442,10803442,97
TIC 10819021,10819021,97
TIC 10820352,10820352,97
TIC 10820870,10820870,97
TIC 10821149,10821149,97
TIC 10835598,10835598,97
TIC 10835890,10835890,97
TIC 10837041,10837041,97
TIC 10838226,10838226,97
TIC 10838265,10838265,97
TIC 10838592,10838592,97
TIC 10839014,10839014,97
TIC 10839173,10839173,97
TIC 10839729,10839729,97
TIC 10839990,10839990,97
TIC 10841335,10841335,97
TIC 10842216,10842216,97
TIC 10843303,10843303,97
TIC 10862194,10862194,97
TIC 10862913,10862913,97
TIC 10863087,10863087,97
TIC 10863225,10863225,97
TIC 10864146,10864146,97
TIC 10864406,10864406,97
TIC 10879648,10879648,97
TIC 10879912,10879912,97
TIC 10880161,10880161,97
TIC 10880669,10880669,97
TIC 10880783,10880783,97
TIC 10880919,10880919,97
TIC 10881375,10881375,97
TIC 10929818,10929818,97
TIC 11488299,11488299,97
TIC 11489563,11489563,97
TIC 11518046,11518046,97
TIC 11518056,11518056,97
TIC 11518057,11518057,97
TIC 11519779,11519779,97
TIC 11519781,11519781,97
TIC 11528274,11528274,97
TIC 11528365,11528365,97
TIC 11529003,11529003,97
TIC 11555844,11555844,97
TIC 11555893,11555893,97
TIC 11557292,11557292,97
TIC 11557436,11557436,97
TIC 11558146,11558146,97
TIC 11558750,11558750,97
TIC 11568164,11568164,97
TIC 11568422,11568422,97
TIC 11568476,11568476,97
TIC 11568615,11568615,97
TIC 11569593,11569593,97
TIC 11569594,11569594,97
TIC 11569869,11569869,97
TIC 11598511,11598511,97
TIC 11599080,11599080,97
TIC 11613069,11613069,97
TIC 11613593,11613593,97
TIC 11614280,11614280,97
TIC 11614297,11614297,97
TIC 11614485,11614485,97
TIC 11637334,11637334,97
TIC 11637549,11637549,97
TIC 11638054,11638054,97
TIC 11645419,11645419,97
TIC 11645757,11645757,97
TIC 11645758,11645758,97
TIC 11645994,11645994,97
TIC 11646278,11646278,97
TIC 11646496,11646496,97
TIC 11646610,11646610,97
TIC 11647020,11647020,97
TIC 11648089,11648089,97
TIC 11648090,11648090,97
TIC 11649826,11649826,97
TIC 11650529,11650529,97
TIC 11650843,11650843,97
TIC 11652076,11652076,97
TIC 11652229,11652229,97
TIC 11652846,11652846,97
TIC 11652849,11652849,97
TIC 11652986,11652986,97
TIC 11653014,11653014,97
TIC 11688264,11688264,97
TIC 11688606,11688606,97
TIC 24186999,24186999,97
TIC 24207200,24207200,97
TIC 24207247,24207247,97
TIC 24208171,24208171,97
TIC 24208577,24208577,97
TIC 24225890,24225890,97
TIC 24226684,24226684,97
TIC 24226766,24226766,97
TIC 24227072,24227072,97
TIC 24227217,24227217,97
TIC 24247955,24247955,97
TIC 24247970,24247970,97
TIC 24247972,24247972,97
TIC 24248404,24248404,97
TIC 24248926,24248926,97
TIC 24249170,24249170,97
TIC 24250134,24250134,97
TIC 24250351,24250351,97
TIC 24250771,24250771,97
TIC 24250773,24250773,97
TIC 24251953,24251953,97
TIC 24252344,24252344,97
TIC 24268748,24268748,97
TIC 24270013,24270013,97
TIC 24270405,24270405,97
TIC 24295724,24295724,97
TIC 24884883,24884883,97
TIC 24908871,24908871,97
TIC 24908875,24908875,97
TIC 24908944,24908944,97
TIC 24908945,24908945,97
TIC 24909374,24909374,97
TIC 24910325,24910325,97
TIC 24910326,24910326,97
TIC 24910401,24910401,97
TIC 24910593,24910593,97
TIC 24910738,24910738,97
TIC 24921216,24921216,97
TIC 24921351,24921351,97
TIC 24921603,24921603,97
