target,tic_id,sectors
TIC 12433577,12433577,96
TIC 12433730,12433730,96
TIC 12434227,12434227,96
TIC 12434259,12434259,96
TIC 12434368,12434368,96
TIC 12435046,12435046,96
TIC 12435154,12435154,96
TIC 12435774,12435774,96
TIC 12469707,12469707,96
TIC 12470194,12470194,96
TIC 12470241,12470241,96
TIC 12471629,12471629,96
TIC 12472252,12472252,96
TIC 12473429,12473429,96
TIC 12474225,12474225,96
TIC 12509178,12509178,96
TIC 12509218,12509218,96
TIC 12511001,12511001,96
TIC 12822545,12822545,96
TIC 12858078,12858078,96
TIC 12858196,12858196,96
TIC 12880835,12880835,96
TIC 12931537,12931537,96
TIC 12931705,12931705,96
TIC 12932464,12932464,96
TIC 12932859,12932859,96
TIC 12933046,12933046,96
TIC 12967420,12967420,96
TIC 12968953,12968953,96
TIC 12969289,12969289,96
TIC 12969617,12969617,96
TIC 12970307,12970307,96
TIC 12970429,12970429,96
TIC 12970743,12970743,96
TIC 12972937,12972937,96
TIC 12974464,12974464,96
TIC 12997929,12997929,96
TIC 12999193,12999193,96
TIC 13000397,13000397,96
TIC 13023378,13023378,96
TIC 13023585,13023585,96
TIC 13024362,13024362,96
TIC 13024620,13024620,96
TIC 13058711,13058711,96
TIC 13058935,13058935,96
TIC 13059308,13059308,96
TIC 13060575,13060575,96
TIC 13065840,13065840,96
TIC 13065858,13065858,96
TIC 13065910,13065910,96
TIC 13066232,13066232,96
TIC 13066915,13066915,96
TIC 13074467,13074467,96
TIC 13090700,13090700,96
TIC 13090802,13090802,96
TIC 13097379,13097379,96
TIC 13099148,13099148,96
TIC 13099818,13099818,96
TIC 13137474,13137474,96
TIC 13140280,13140280,96
TIC 13140406,13140406,96
TIC 20891335,20891335,96
TIC 20891859,20891859,96
TIC 20892851,20892851,96
TIC 20892978,20892978,96
TIC 20897314,20897314,96
TIC 20897611,20897611,96
TIC 20898556,20898556,96
TIC 25117536,25117536,96
TIC 25153740,25153740,96
TIC 27955268,27955268,96
TIC 27964643,27964643,96
TIC 27965020,27965020,96
TIC 27966179,27966179,96
TIC 27972482,27972482,96
TIC 27973239,27973239,96
TIC 27973812,27973812,96
TIC 27985321,27985321,96
TIC 30642087,30642087,96
TIC 31310253,31310253,96
TIC 31742837,31742837,96
TIC 31998451,31998451,96
TIC 32034702,32034702,96
TIC 33715596,33715596,96
TIC 33717892,33717892,96
TIC 33910482,33910482,96
TIC 33911215,33911215,96
TIC 33911302,33911302,96
TIC 33911474,33911474,96
TIC 33912852,33912852,96
TIC 33912893,33912893,96
TIC 33914550,33914550,96
TIC 33944109,33944109,96
TIC 33944383,33944383,96
TIC 33945661,33945661,96
TIC 33945685,33945685,96
TIC 33946400,33946400,96
TIC 33946589,33946589,96
TIC 33946796,33946796,96
TIC 33947014,33947014,96
TIC 33947153,33947153,96
TIC 33949151,33949151,96
TIC 33981987,33981987,96
TIC 33982457,33982457,96
TIC 33982831,33982831,96
TIC 33982876,33982876,96
TIC 33982930,33982930,96
TIC 33983604,33983604,96
TIC 33983824,33983824,96
TIC 33984043,33984043,96
TIC 33984356,33984356,96
TIC 33984575,33984575,96
TIC 33984762,33984762,96
TIC 33984884,33984884,96
TIC 33984946,33984946,96
TIC 33985071,33985071,96
TIC 33985272,33985272,96
TIC 33985284,33985284,96
TIC 33985304,33985304,96
TIC 33986209,33986209,96
TIC 33986410,33986410,96
TIC 33986466,33986466,96
TIC 34014829,34014829,96
TIC 34015990,34015990,96
TIC 34016963,34016963,96
TIC 34016990,34016990,96
TIC 34035509,34035509,96
TIC 34035685,34035685,96
TIC 34036315,34036315,96
TIC 34036698,34036698,96
TIC 34036836,34036836,96
TIC 34036993,34036993,96
TIC 34037004,34037004,96
TIC 34038105,34038105,96
TIC 34039774,34039774,96
TIC 34040424,34040424,96
TIC 38426085,38426085,96
TIC 38468978,38468978,96
TIC 38470434,38470434,96
TIC 38515286,38515286,96
TIC 38516613,38516613,96
TIC 38516873,38516873,96
TIC 38696149,38696149,96
TIC 38807149,38807149,96
TIC 38815028,38815028,96
TIC 38828079,38828079,96
TIC 38849548,38849548,96
TIC 38965672,38965672,96
TIC 39067573,39067573,96
TIC 39081151,39081151,96
TIC 41789442,41789442,96
TIC 41858056,41858056,96
TIC 41859985,41859985,96
TIC 47276608,47276608,96
TIC 47276617,47276617,96
TIC 47294705,47294705,96
TIC 47296054,47296054,96
TIC 47296757,47296757,96
TIC 47316404,47316404,96
TIC 47316519,47316519,96
TIC 47316976,47316976,96
TIC 47336943,47336943,96
TIC 47338486,47338486,96
TIC 47338827,47338827,96
TIC 47339137,47339137,96
TIC 47353118,47353118,96
TIC 47353192,47353192,96
TIC 47353359,47353359,96
TIC 47354212,47354212,96
TIC 47354447,47354447,96
TIC 47354487,47354487,96
TIC 47354504,47354504,96
TIC 47355413,47355413,96
TIC 47355530,47355530,96
TIC 47383495,47383495,96
TIC 47389097,47389097,96
TIC 47389361,47389361,96
TIC 47389790,47389790,96
TIC 47422759,47422759,96
TIC 47422872,47422872,96
TIC 47423120,47423120,96
TIC 47423224,47423224,96
TIC 47423287,47423287,96
TIC 47424478,47424478,96
TIC 47425697,47425697,96
TIC 47465993,47465993,96
TIC 47466200,47466200,96
TIC 47467538,47467538,96
TIC 47482754,47482754,96
TIC 47482845,47482845,96
TIC 47483428,47483428,96
TIC 47484982,47484982,96
