target,tic_id,sectors
TIC 1608,1608,102
TIC 7154,7154,102
TIC 8567,8567,102
TIC 13764,13764,102
TIC 15395,15395,102
TIC 15480,15480,102
TIC 28465,28465,102
TIC 29465,29465,102
TIC 4030832,4030832,102
TIC 4040541,4040541,102
TIC 7413227,7413227,102
TIC 7437395,7437395,102
TIC 7439480,7439480,102
TIC 7439481,7439481,102
TIC 7440160,7440160,102
TIC 7442000,7442000,102
TIC 7442065,7442065,102
TIC 7470884,7470884,102
TIC 7470978,7470978,102
TIC 7475132,7475132,102
TIC 7549361,7549361,102
TIC 7551387,7551387,102
TIC 7587123,7587123,102
TIC 7587203,7587203,102
TIC 10537428,10537428,102
TIC 30019872,30019872,102
TIC 30066566,30066566,102
TIC 30067072,30067072,102
TIC 30067436,30067436,102
TIC 30069525,30069525,102
TIC 30098693,30098693,102
TIC 30169733,30169733,102
TIC 30199562,30199562,102
TIC 30199784,30199784,102
TIC 30201932,30201932,102
TIC 30202563,30202563,102
TIC 30245307,30245307,102
TIC 30245313,30245313,102
TIC 30248199,30248199,102
TIC 30287172,30287172,102
TIC 30287190,30287190,102
TIC 30599328,30599328,102
TIC 30662199,30662199,102
TIC 30805149,30805149,102
TIC 31057190,31057190,102
TIC 31057630,31057630,102
TIC 31060479,31060479,102
TIC 31096993,31096993,102
TIC 31097805,31097805,102
TIC 31134945,31134945,102
TIC 31135383,31135383,102
TIC 31139138,31139138,102
TIC 31241050,31241050,102
TIC 40452703,40452703,102
TIC 42957681,42957681,102
TIC 43221130,43221130,102
TIC 44625421,44625421,102
TIC 44626002,44626002,102
TIC 46218875,46218875,102
TIC 47193106,47193106,102
TIC 47198926,47198926,102
TIC 47617161,47617161,102
TIC 47618130,47618130,102
TIC 47618231,47618231,102
TIC 47618442,47618442,102
TIC 47619476,47619476,102
TIC 47621242,47621242,102
TIC 47622411,47622411,102
TIC 47622581,47622581,102
TIC 47702696,47702696,102
TIC 47748785,47748785,102
TIC 47752102,47752102,102
TIC 47753261,47753261,102
TIC 47754540,47754540,102
TIC 47831368,47831368,102
TIC 47831413,47831413,102
TIC 47831767,47831767,102
TIC 47831828,47831828,102
TIC 47831950,47831950,102
TIC 47833453,47833453,102
TIC 47833455,47833455,102
TIC 47886825,47886825,102
TIC 47887337,47887337,102
TIC 47888050,47888050,102
TIC 47888502,47888502,102
TIC 47951552,47951552,102
TIC 47958845,47958845,102
TIC 48001775,48001775,102
TIC 48002277,48002277,102
TIC 48064387,48064387,102
TIC 48072674,48072674,102
TIC 48115087,48115087,102
TIC 48117577,48117577,102
TIC 48117777,48117777,102
TIC 48117786,48117786,102
TIC 48118967,48118967,102
TIC 48186931,48186931,102
TIC 48232549,48232549,102
TIC 48438278,48438278,102
TIC 49196232,49196232,102
TIC 49206298,49206298,102
TIC 49287501,49287501,102
TIC 49321839,49321839,102
TIC 49321840,49321840,102
TIC 49332532,49332532,102
TIC 49421288,49421288,102
TIC 58533670,58533670,102
TIC 58533991,58533991,102
TIC 58613275,58613275,102
TIC 58715174,58715174,102
TIC 58715528,58715528,102
TIC 58737412,58737412,102
TIC 60735803,60735803,102
TIC 60768112,60768112,102
TIC 60768882,60768882,102
TIC 60768923,60768923,102
TIC 60770441,60770441,102
TIC 60792439,60792439,102
