"target","tic_id","toi","disposition","tmag","teff_k","stellar_radius_solar","distance_pc","known_period_days","unique_transiting_signal_count","available_sector_count","sectors"
"TIC 396562848","396562848","1640.01","CP","11.0548000","3414.0000000","0.2601870","18.2276000","1.9495403","1","10","18;19;25"
"TIC 28900646","28900646","1685.01","CP","11.1117000","3457.0000000","0.4624080","37.6153000","0.6691449","1","3","19;59;86"
"TIC 351601843","351601843","1075.01","CP","11.1186000","4046.0000000","0.5803370","61.4592000","0.6047392","1","8","101;102;103"
"TIC 417931300","417931300","2068.01","CP","11.1806000","3700.0000000","0.5425730","52.9328000","7.7690887","1","7","14;15;21"
"TIC 219698776","219698776","1243.01","CP","11.1966000","3489.0000000","0.4907290","43.1865000","4.6595169","1","7","40;47;53"
"TIC 452866790","452866790","488.01","CP","11.1972000","3332.0000000","0.3545290","27.3644000","1.1979996","1","4","7;34;61"
"TIC 22233480","22233480","4438.01","CP","11.2695000","3353.0000000","0.3758590","30.0346000","7.4463034","1","5","40;52;53"
"TIC 4070275","4070275","4364.01","CP","11.3993000","3500.0000000","0.4657770","43.9662000","5.4240691","1","3","5;32;98"
"TIC 436575927","436575927","6977.01","KP","11.4398000","4197.0000000","0.7000000","98.0152000","5.0957983","1","4","43;44;70"
