target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,teff_k,stellar_radius_solar,distance_pc,luminosity_class,stellar_selection_tier,small_planet_merit,selection_rank
TIC 275472902,275472902,100,100,11.28,178.8709,-46.8053,2,2,5749.0,0.916697,225.795,DWARF,0,2.180452,2238
TIC 310412874,310412874,100,100,12.76,185.2025,-64.1512,3,2,3130.0,0.652036,,DWARF,0,2.180543,2239
TIC 394718427,394718427,100,100,12.08,202.1161,-74.4708,3,3,5440.0,0.762729,238.243,DWARF,0,2.180741,2240
TIC 306990399,306990399,100,100,12.06,266.9498,-62.5275,4,4,5160.93,0.766603,221.335,DWARF,0,2.181141,2241
TIC 449664562,449664562,100,100,12.99,201.0337,-60.2055,3,4,3090.0,0.618878,113.97,DWARF,0,2.18121,2242
TIC 74991164,74991164,100,100,10.63,266.0878,-58.729,4,4,5745.0,1.06576,194.554,DWARF,0,2.181319,2243
TIC 392732296,392732296,100,100,10.91,175.6615,-66.5419,3,2,5610.0,0.999225,191.018,DWARF,0,2.181327,2244
TIC 380332136,380332136,100,100,11.28,257.5054,-66.8891,4,4,5595.0,0.917773,215.878,DWARF,0,2.181471,2245
TIC 208789398,208789398,100,100,12.88,209.1899,-54.659,3,4,3312.0,0.634982,123.547,DWARF,0,2.181523,2246
TIC 402751779,402751779,100,100,12.78,224.7211,-75.6585,4,2,4255.0,0.650133,167.986,DWARF,0,2.182004,2247
TIC 72860367,72860367,100,100,10.43,188.786,-44.2812,2,2,5969.0,1.11698,198.1,DWARF,0,2.182091,2248
TIC 450637083,450637083,100,100,13.32,169.1556,-54.6299,2,1,3286.0,0.574183,129.377,DWARF,0,2.182101,2249
TIC 401228262,401228262,100,100,10.54,187.6229,-52.3743,3,1,4491.0,1.08918,115.606,DWARF,0,2.182199,2250
TIC 316803012,316803012,100,100,12.82,172.0067,-64.4656,3,2,3464.0,0.644372,131.512,DWARF,0,2.182273,2251
TIC 467522800,467522800,100,100,13.98,168.7473,-64.347,3,2,3198.0,0.493406,137.366,DWARF,0,2.182409,2252
TIC 405443835,405443835,100,100,13.36,190.3746,-54.8945,3,1,3331.0,0.569124,129.756,DWARF,0,2.182414,2253
TIC 316802745,316802745,100,100,13.25,172.0383,-64.4203,3,2,3497.0,0.583754,140.415,DWARF,0,2.18246,2254
TIC 21641097,21641097,100,100,12.43,180.5016,-41.9386,2,2,3789.0,0.705178,141.868,DWARF,0,2.182598,2255
TIC 364282673,364282673,100,100,12.23,252.4004,-68.2922,4,4,4856.0,0.738417,203.59,DWARF,0,2.182603,2256
TIC 244842616,244842616,100,100,13.58,196.3058,-51.6393,3,1,3230.0,0.541227,132.602,DWARF,0,2.182759,2257
TIC 320851615,320851615,100,100,13.23,174.9846,-64.74,3,2,3111.0,0.586805,,DWARF,0,2.182988,2258
TIC 162900778,162900778,100,100,13.49,171.5866,-46.4251,2,1,3763.0,0.55283,160.789,DWARF,0,2.183183,2259
TIC 382391109,382391109,100,100,11.52,290.0733,-70.5954,4,3,5453.0,0.870147,215.657,DWARF,0,2.183185,2260
TIC 418576161,418576161,100,100,11.45,206.5873,-79.4313,4,2,5425.0,0.884429,208.307,DWARF,0,2.183326,2261
TIC 451219998,451219998,100,100,10.53,170.7305,-54.3428,2,1,5195.0,1.09321,158.35,DWARF,0,2.183407,2262
TIC 320715017,320715017,100,100,11.61,205.5642,-64.2464,3,4,5324.0,0.852606,197.8,DWARF,0,2.183497,2263
TIC 57302135,57302135,100,100,11.22,171.3395,-30.1741,2,3,5032.33,0.932722,177.982,DWARF,0,2.183504,2264
TIC 405642977,405642977,100,100,10.91,191.8583,-54.7544,3,1,4331.0,1.00213,113.814,DWARF,0,2.183848,2265
TIC 135162879,135162879,100,100,13.62,185.5548,-41.8008,2,2,3182.0,0.536954,129.936,DWARF,0,2.183874,2266
TIC 311200813,311200813,100,100,10.82,185.6478,-61.9589,3,2,5493.0,1.02324,184.149,DWARF,0,2.183955,2267
TIC 343237841,343237841,100,100,10.57,205.8583,-67.9197,3,3,5741.0,1.08431,187.814,DWARF,0,2.184307,2268
TIC 467919338,467919338,100,100,13.61,169.5415,-63.7274,3,2,3109.0,0.538467,126.681,DWARF,0,2.184318,2269
TIC 293962957,293962957,100,100,10.34,264.0087,-67.5001,4,4,5915.0,1.14348,192.381,DWARF,0,2.184457,2270
TIC 293427299,293427299,100,100,12.38,222.1459,-62.4954,3,4,4710.0,0.714966,184.884,DWARF,0,2.184571,2271
TIC 449030988,449030988,100,100,10.96,215.7399,-67.0671,3,4,4582.0,0.991534,131.607,DWARF,0,2.184615,2272
TIC 334113835,334113835,100,100,13.66,182.8167,-48.0728,2,2,3342.0,0.532492,140.043,DWARF,0,2.184626,2273
TIC 161467050,161467050,100,100,13.78,190.176,-51.7422,3,1,3278.0,0.517996,135.068,DWARF,0,2.184653,2274
TIC 401314439,401314439,100,100,13.63,187.9775,-52.6199,3,1,3434.0,0.536303,146.61,DWARF,0,2.18482,2275
TIC 209732091,209732091,100,100,12.95,210.7477,-54.3367,3,4,3395.0,0.627502,129.317,DWARF,0,2.18523,2276
TIC 244949742,244949742,100,100,13.66,197.0357,-49.3153,3,1,3003.0,0.532949,120.172,DWARF,0,2.185371,2277
TIC 334558633,334558633,100,100,10.65,193.7383,-71.8352,3,3,5669.0,1.06599,187.868,DWARF,0,2.185506,2278
TIC 469872857,469872857,100,100,12.74,303.0784,-74.4688,4,3,4062.0,0.65881,147.891,DWARF,0,2.18552,2279
TIC 165590041,165590041,100,100,12.69,192.4424,-51.2091,3,1,3488.0,0.666627,132.058,DWARF,0,2.185766,2280
TIC 260997530,260997530,100,100,13.07,203.112,-53.3894,3,1,3426.0,0.610905,135.006,DWARF,0,2.185947,2281
TIC 363801515,363801515,100,100,13.6,250.5716,-70.9311,4,2,3751.0,0.540821,165.605,DWARF,0,2.186107,2282
TIC 163042241,163042241,100,100,11.3,191.2058,-49.3133,3,1,3980.0,0.918758,102.738,DWARF,0,2.186402,2283
TIC 72670312,72670312,100,100,13.86,188.2222,-45.8019,2,2,3284.0,0.509567,141.562,DWARF,0,2.186403,2284
TIC 207786953,207786953,100,100,13.33,207.3081,-54.2369,3,4,3314.0,0.575788,133.005,DWARF,0,2.186525,2285
TIC 311049899,311049899,100,100,12.13,185.5534,-60.0683,3,2,4816.0,0.759132,189.656,DWARF,0,2.186635,2286
TIC 256168982,256168982,100,100,13.24,199.4684,-54.9118,3,1,3135.0,0.587975,119.929,DWARF,0,2.186718,2287
TIC 81077086,81077086,100,100,11.76,166.6555,-53.9574,2,1,5403.0,0.826816,222.485,DWARF,0,2.186818,2288
TIC 293797932,293797932,100,100,11.89,263.5589,-66.6617,4,4,5269.0,0.802628,222.858,DWARF,0,2.187029,2289
TIC 403077556,403077556,100,100,10.73,227.4542,-73.1095,4,2,5849.8,1.04855,205.936,DWARF,0,2.187178,2290
TIC 401279432,401279432,100,100,11.23,187.9363,-48.1467,2,2,4803.0,0.934534,158.627,DWARF,0,2.18719,2291
TIC 932325222,932325222,100,100,13.64,173.5848,-51.5799,2,1,3952.0,0.536552,171.103,DWARF,0,2.187224,2292
TIC 466742971,466742971,100,100,10.76,166.7222,-63.5615,3,2,5793.0,1.04161,191.302,DWARF,0,2.18741,2293
TIC 313671132,313671132,100,100,10.08,202.1576,-62.17,3,4,5878.0,1.21829,177.911,DWARF,0,2.187501,2294
TIC 413869379,413869379,100,100,12.55,215.3133,-55.9256,3,4,4828.0,0.689859,203.979,DWARF,0,2.187521,2295
TIC 1511323527,1511323527,100,100,11.74,263.2819,-59.7976,4,4,5274.0,0.831828,217.067,DWARF,0,2.188067,2296
TIC 57183789,57183789,100,100,13.41,170.6307,-35.6933,2,3,3824.0,0.566453,161.395,DWARF,0,2.188328,2297
TIC 134811724,134811724,100,100,11.08,183.3068,-40.1102,2,2,4191.0,0.96888,111.161,DWARF,0,2.18854,2298
TIC 296166876,296166876,100,100,11.75,172.3671,-66.8963,3,2,5100.0,0.83048,198.325,DWARF,0,2.188658,2299
TIC 411624704,411624704,100,100,12.46,185.4238,-54.563,3,1,4426.0,0.70524,173.027,DWARF,0,2.188674,2300
TIC 389214920,389214920,100,100,12.36,179.8236,-42.6114,2,2,4183.0,0.721708,145.324,DWARF,0,2.188723,2301
TIC 447318741,447318741,100,100,12.05,251.4591,-63.4008,4,4,4834.0,0.775202,193.358,DWARF,0,2.18883,2302
TIC 291909020,291909020,100,100,10.29,218.0463,-58.4352,3,4,4405.0,1.16263,101.946,DWARF,0,2.188883,2303
TIC 241528611,241528611,100,100,10.15,206.4829,-52.3739,3,1,4760.0,1.2008,118.456,DWARF,0,2.188941,2304
TIC 311587909,311587909,100,100,9.84,185.9472,-64.0487,3,2,4650.0,1.28974,105.598,DWARF,0,2.189004,2305
TIC 142283008,142283008,100,100,13.3,180.8636,-35.5886,2,3,3621.0,0.581485,151.591,DWARF,0,2.189077,2306
TIC 434673347,434673347,100,100,13.43,191.3242,-65.0135,3,3,3390.0,0.564446,137.341,DWARF,0,2.189245,2307
TIC 312706075,312706075,100,100,9.94,182.5104,-69.2914,3,3,6268.0,1.26077,190.45,DWARF,0,2.189272,2308
TIC 447691425,447691425,100,100,11.95,254.6638,-63.3672,4,4,5097.0,0.793672,210.097,DWARF,0,2.189282,2309
TIC 209883620,209883620,100,100,13.47,211.2393,-58.4758,3,4,3324.0,0.559615,135.479,DWARF,0,2.189779,2310
TIC 308130014,308130014,100,100,13.06,167.3837,-54.6602,2,1,3531.0,0.615199,143.157,DWARF,0,2.190031,2311
TIC 326175038,326175038,100,100,11.71,209.8197,-61.942,3,4,4873.0,0.839626,180.529,DWARF,0,2.190172,2312
TIC 429299597,429299597,100,100,11.53,184.305,-48.5221,2,2,5021.0,0.875209,186.691,DWARF,0,2.190224,2313
TIC 413114276,413114276,100,100,13.36,204.9042,-55.8619,3,4,3339.0,0.574372,134.237,DWARF,0,2.190387,2314
TIC 152480533,152480533,100,100,10.34,171.7387,-39.8103,2,3,5567.0,1.15166,171.855,DWARF,0,2.190649,2315
TIC 448165340,448165340,100,100,11.63,208.5129,-67.5585,3,3,4308.0,0.855791,135.106,DWARF,0,2.190735,2316
TIC 92699962,92699962,100,100,13.41,173.7349,-52.3603,2,1,3814.0,0.56812,163.601,DWARF,0,2.19088,2317
TIC 420008286,420008286,100,100,13.48,202.9063,-53.3439,3,1,3543.0,0.559152,152.244,DWARF,0,2.19106,2318
TIC 352084298,352084298,100,100,11.21,285.1547,-73.1333,4,3,5849.75,0.943413,228.427,DWARF,0,2.191404,2319
TIC 241406701,241406701,100,100,13.88,205.0755,-51.2841,3,1,3229.0,0.510282,139.836,DWARF,0,2.19162,2320
TIC 466617428,466617428,100,100,13.74,166.3869,-63.2187,3,2,3342.0,0.527215,140.215,DWARF,0,2.191976,2321
TIC 395178027,395178027,100,100,12.54,205.1593,-72.2675,3,3,4429.0,0.695137,172.894,DWARF,0,2.192141,2322
TIC 160204059,160204059,100,100,10.81,189.4531,-52.163,3,1,4320.0,1.03542,113.281,DWARF,0,2.192233,2323
TIC 328245275,328245275,100,100,13.81,190.2679,-67.1968,3,3,3349.0,0.519367,138.741,DWARF,0,2.192949,2324
TIC 245431787,245431787,100,100,11.03,200.1375,-49.4644,3,1,4553.0,0.985372,133.971,DWARF,0,2.1932,2325
TIC 309224844,309224844,100,100,11.89,168.0003,-56.1343,3,2,4971.0,0.808536,194.443,DWARF,0,2.193399,2326
TIC 334865676,334865676,100,100,12.94,184.5997,-52.651,3,1,3310.0,0.635106,126.464,DWARF,0,2.193692,2327
TIC 290812779,290812779,100,100,10.11,256.1791,-61.8198,4,4,6288.0,1.2186,202.4,DWARF,0,2.193722,2328
TIC 405443884,405443884,100,100,13.22,190.3185,-54.9129,3,1,3363.0,0.595589,134.638,DWARF,0,2.193893,2329
TIC 23500615,23500615,100,100,10.51,168.8628,-33.8054,2,3,5518.21,1.11268,172.998,DWARF,0,2.194741,2330
TIC 253251839,253251839,100,100,12.99,195.452,-57.4625,3,1,3366.0,0.628765,129.96,DWARF,0,2.194977,2331
TIC 447243289,447243289,100,100,11.78,250.9259,-60.0848,4,4,4468.0,0.830793,153.517,DWARF,0,2.194986,2332
TIC 245128327,245128327,100,100,13.17,198.2175,-50.1246,3,1,3274.0,0.603353,132.223,DWARF,0,2.195143,2333
TIC 135043944,135043944,100,100,13.11,184.5968,-36.5867,2,2,3388.0,0.611835,,DWARF,0,2.195269,2334
TIC 267845661,267845661,100,100,10.41,176.4278,-57.658,3,2,4389.0,1.14025,107.735,DWARF,0,2.196,2335
TIC 448334902,448334902,100,100,11.14,209.7443,-69.9782,3,3,5441.0,0.963831,196.71,DWARF,0,2.196002,2336
TIC 389221542,389221542,100,100,13.99,217.5023,-64.0795,3,4,3141.0,0.500062,136.242,DWARF,0,2.196048,2337
TIC 164293636,164293636,100,100,13.64,191.6754,-51.0296,3,1,3090.0,0.542179,129.081,DWARF,0,2.196285,2338
TIC 303492553,303492553,100,100,11.54,159.8405,-52.3268,2,1,5158.0,0.880079,193.914,DWARF,0,2.197043,2339
TIC 364420417,364420417,100,100,12.36,252.9718,-67.6102,4,4,4903.0,0.728855,217.242,DWARF,0,2.197282,2340
TIC 352002193,352002193,100,100,12.22,283.2347,-73.9695,4,3,4795.0,0.753055,195.622,DWARF,0,2.197653,2341
TIC 401770337,401770337,100,100,11.91,217.7427,-75.3097,4,2,5345.06,0.808924,229.572,DWARF,0,2.197815,2342
TIC 76004957,76004957,100,100,10.8,268.682,-56.2253,4,4,5547.0,1.04454,192.075,DWARF,0,2.19785,2343
TIC 338981544,338981544,100,100,10.84,199.3722,-70.8778,3,3,5410.0,1.03548,183.995,DWARF,0,2.198283,2344
TIC 450668966,450668966,100,100,10.59,169.4185,-56.3403,3,2,5044.0,1.09703,149.213,DWARF,0,2.198437,2345
