target,tic_id,planet,expected_period_days,expected_depth_ppm,tmag,source_rowupdate,purpose,sector,sectors,author,cadence_seconds,observed_baseline_days,expected_transits
TIC 118327550,118327550,TOI-244 b,7.397225,1060,10.35,catalog_pl_trandep,survey-wide known-planet recovery rate,69,69;96;104,SPOC,120,81,10.95
TIC 118956453,118956453,WASP-170 b,2.3447802,13820,11.94,catalog_pl_trandep,survey-wide known-planet recovery rate,99,99,SPOC,120,23.14,9.87
TIC 119292328,119292328,TOI-512 b,7.18886,246,8.977,catalog_pl_trandep,survey-wide known-planet recovery rate,98,98,SPOC,120,51.46,7.16
TIC 119584412,119584412,TOI-1801 b,10.64387,1214.16,9.856,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,22,22;49,SPOC,120,54,5.07
TIC 120247528,120247528,TOI-1071.01,3.5544026,10164.9,11.58,catalog_toi_pl_trandep,survey-wide known-planet recovery rate,94,94,SPOC,120,22.01,6.19
TIC 120610833,120610833,WASP-45 b,3.126089,12900,11.5,catalog_pl_trandep,survey-wide known-planet recovery rate,96,96,SPOC,120,22.03,7.05
TIC 120916706,120916706,TOI-263.01,0.5568212,42426.1,15.62,catalog_toi_pl_trandep,survey-wide known-planet recovery rate,97,97,SPOC,120,50.16,90.09
TIC 124235800,124235800,TOI-4898 b,2.7652047,2845.19,11.93,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,101,101,SPOC,120,22.16,8.01
TIC 124778445,124778445,NGTS-3 A b,1.6753728,26800,13.98,catalog_pl_trandep,survey-wide known-planet recovery rate,98,98,SPOC,120,51.46,30.72
TIC 125739286,125739286,NGTS-2 b,4.511164,9274.22,10.53,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,102,102,SPOC,120,21.58,4.78
TIC 127530399,127530399,WASP-132 b,7.1335164,14920.6,11.11,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,102,102,SPOC,120,21.78,3.05
TIC 134200185,134200185,TOI-500 b,0.548177,248.7,9.402,catalog_pl_trandep,survey-wide known-planet recovery rate,6,6;7;8,SPOC,120,81,147.76
TIC 138819293,138819293,GJ 436 b,2.6438831,7059.78,8.403,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,22,22;49,SPOC,120,54,20.42
TIC 139733308,139733308,HATS-5 b,4.763387,11578.8,11.9,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,48.05,10.09
TIC 140691463,140691463,TOI-157 b,2.0845435,12830,12.02,catalog_pl_trandep,survey-wide known-planet recovery rate,94,94,SPOC,120,21.93,10.52
TIC 142105158,142105158,TOI-2200 b,2.9360284,5969.36,12.32,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.63,7.37
TIC 142211778,142211778,NGTS-18 b,3.05125,7979.32,13.91,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.77,7.46
TIC 143143769,143143769,NGTS-4 b,1.3373508,1204.58,12.37,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,51.44,38.47
TIC 144700903,144700903,TOI-532 b,2.3266508,7601.24,12.68,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,50.71,21.80
TIC 146172354,146172354,TOI-1036 b,3.7795213,2402.57,10.29,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.95,6.07
TIC 146520535,146520535,TOI-942 c,10.156272,2293.51,11.05,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,48.05,4.73
TIC 148497855,148497855,TOI-2986 b,3.2783662,3415,12.07,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,22.92,6.99
TIC 149603524,149603524,WASP-62 b,4.41195,12000,9.711,catalog_pl_trandep,survey-wide known-planet recovery rate,94,94,SPOC,120,21.65,4.91
TIC 150030205,150030205,TOI-286 b,4.5117244,278.567,9.106,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.65,4.80
TIC 151759246,151759246,TOI-5800 b,2.6278838,851.242,8.613,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,54,54;81;92,SPOC,120,81,30.82
TIC 151825527,151825527,TOI-672 b,3.633581,8127.24,11.67,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.93,6.31
TIC 151920165,151920165,NGTS-24 b,3.4678796,5786.6,12.57,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.8,6.58
TIC 152476657,152476657,TOI-415.01,3.6112621,5684.09,10.58,catalog_toi_pl_trandep,survey-wide known-planet recovery rate,97,97,SPOC,120,50.34,13.94
TIC 152569268,152569268,TOI-6281 b,1.0542624,407.178,9.954,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,23.38,22.18
TIC 153078576,153078576,TOI-2407 b,2.702969,4744.55,12.53,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,97,97,SPOC,120,50.32,18.62
TIC 157230659,157230659,NGTS-12 b,7.532806,4593.57,11.66,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.92,3.04
TIC 157266693,157266693,HATS-53 b,3.8537768,15642.6,13.16,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.7,5.89
TIC 158025009,158025009,TOI-1416 b,1.0697568,455,9.074,catalog_pl_trandep,survey-wide known-planet recovery rate,16,16;23;50,SPOC,120,81,75.72
TIC 158297421,158297421,HATS-47 b,3.9228038,30580.5,13.67,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,22.07,5.63
TIC 158588995,158588995,TOI-674 b,1.977143,13132.9,11.88,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.53,11.40
TIC 159418353,159418353,TOI-1739 b,8.3033414,521.825,9.812,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,19,19;20;21,SPOC,120,81,9.76
TIC 160578764,160578764,WASP-192 b,2.8786765,9260,12.1,catalog_pl_trandep,survey-wide known-planet recovery rate,102,102,SPOC,120,21.94,7.62
TIC 160708862,160708862,WASP-178 b,3.3448285,12430,9.879,catalog_pl_trandep,survey-wide known-planet recovery rate,102,102,SPOC,120,21.94,6.56
TIC 161032923,161032923,TOI-1080 b,3.9652482,2969.15,12.71,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,103,103,SPOC,120,22.3,5.62
TIC 162802770,162802770,TOI-2641 b,4.880974,15431.4,11.19,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.94,4.70
TIC 162922904,162922904,WASP-171 b,3.8186244,3820,12.02,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,23.01,6.03
TIC 164767175,164767175,HIP 8152 b,10.751014,586.293,9.457,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,97,97,SPOC,120,49.88,4.64
TIC 165202476,165202476,TOI-4666 b,2.9089165,38569.7,13.33,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,97,97,SPOC,120,50.28,17.28
TIC 166527623,166527623,HIP 67522 b,6.9594731,4402.21,9.187,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,101,101,SPOC,120,22.19,3.19
TIC 167714124,167714124,NGTS-31 b,4.162734,9471.7,12.85,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,51.11,12.28
TIC 168281028,168281028,HATS-38 b,4.375021,3260.52,11.81,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,21.77,4.98
TIC 169765334,169765334,TOI-329 b,5.70439,873.453,10.69,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,96,96,SPOC,120,22.14,3.88
TIC 170729775,170729775,TOI-2449.01,16.654243,10168,9.9,catalog_toi_pl_trandep,survey-wide known-planet recovery rate,98,98,SPOC,120,51.42,3.09
TIC 170849515,170849515,HATS-76 b,1.9416423,31383.9,14.86,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,51.07,26.30
TIC 176314383,176314383,TOI-2719 b,3.37594,1052.38,12.07,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,48.05,14.23
TIC 176956893,176956893,TOI-2184 b,6.90683,1298.73,11.41,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.57,3.12
TIC 177115354,177115354,TOI-1226 b,3.9288088,501.224,11.55,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.52,5.48
TIC 177254988,177254988,TOI-4405 b,5.92144,1162.51,12.38,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.71,3.67
TIC 178155732,178155732,HR 858 b,3.585287,213.7,5.905,catalog_pl_trandep,survey-wide known-planet recovery rate,97,97,SPOC,120,50.11,13.98
TIC 178709444,178709444,TOI-762 A b,3.4716826,32362.5,13.66,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.6,6.51
TIC 178819686,178819686,TOI-763 b,5.6057,543.033,9.527,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,101,101,SPOC,120,22.19,3.96
TIC 178879588,178879588,HATS-63 b,3.0566527,13437.6,13.26,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,48.05,15.72
TIC 179317684,179317684,TOI-163 b,4.231306,8620.85,10.87,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,95,95,SPOC,120,21.78,5.15
TIC 180695581,180695581,TOI-1807 b,0.54937097,338.377,9.036,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,22,22;23;49,SPOC,120,81,147.44
TIC 180991313,180991313,TOI-2330.01,2.2088214,7770,11.87,catalog_toi_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,22.87,10.36
TIC 181804752,181804752,LP 791-18 c,4.98991,15707.2,13.56,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.42,4.49
TIC 183120439,183120439,TOI-169 b,2.2554477,7500,11.79,catalog_pl_trandep,survey-wide known-planet recovery rate,95,95,SPOC,120,21.81,9.67
TIC 183985250,183985250,LTT 9779 b,0.792052,2079.19,9.103,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,96,96,SPOC,120,22.2,28.03
TIC 188570092,188570092,HATS-72 b,7.3279474,10589.6,11.39,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,96,96,SPOC,120,22.23,3.03
TIC 188589164,188589164,GJ 3929 b,2.616235,975.202,10.27,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,24,24;25;78,SPOC,120,81,30.96
TIC 189625051,189625051,HATS-64 b,4.908897,6667.73,12.49,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,99,99,SPOC,120,24.56,5.00
TIC 192790476,192790476,TOI-2459 b,19.104718,1608.28,9.395,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,5,5;6;32,SPOC,120,81,4.24
TIC 192826603,192826603,NGTS-1 b,2.647298,56894.4,13.91,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,51.01,19.27
TIC 192833836,192833836,TOI-7384 b,6.2340258,10467.9,13.69,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,51.19,8.21
TIC 193336820,193336820,Ross 176 b,5.0066338,878.927,10.44,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,75,75;76;82,SPOC,120,81,16.18
TIC 193641523,193641523,TOI-824 b,1.392978,1490,10.07,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,24.19,17.36
TIC 194795551,194795551,TOI-3331 A b,2.0180231,15590,11.32,catalog_pl_trandep,survey-wide known-planet recovery rate,104,104,SPOC,120,23.59,11.69
TIC 198008005,198008005,TOI-858 B b,3.2797178,9740,10.64,catalog_pl_trandep,survey-wide known-planet recovery rate,97,97,SPOC,120,50.34,15.35
TIC 200322593,200322593,TOI-540 b,1.2391491,1908.53,11.5,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,48.05,38.78
TIC 200805484,200805484,TOI-2654 b,2.9676043,9279.54,13.07,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,97,97,SPOC,120,50.35,16.97
TIC 201186294,201186294,TOI-1634 b,0.98934551,1284.25,11.01,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,18,18;86,SPOC,120,54,54.58
TIC 201248411,201248411,HIP 65 A b,0.9809734,82000,9.9,catalog_pl_trandep,survey-wide known-planet recovery rate,95,95;96;102,SPOC,120,81,82.57
TIC 201604954,201604954,HATS-29 b,4.6058749,14354.6,11.97,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,22.02,4.78
TIC 201642601,201642601,HATS-48 A b,3.1316666,13213,13.17,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.74,6.94
TIC 204317710,204317710,HATS-32 b,2.8126548,13689.5,13.74,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,96,96,SPOC,120,22.08,7.85
TIC 207141131,207141131,HD 18599 b,4.1374354,965.823,8.18,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,96,96,SPOC,120,22.15,5.35
TIC 212253390,212253390,TOI-2211.01,3.0926868,294.453,9.255,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,95,95,SPOC,120,21.62,6.99
TIC 219189765,219189765,HATS-74 A b,1.7318561,33922.7,14.76,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.41,12.94
TIC 219344917,219344917,TOI-871 b,14.362565,450,9.761,catalog_pl_trandep,survey-wide known-planet recovery rate,4,4;5;6,SPOC,120,81,5.64
TIC 219698776,219698776,TOI-1243 b,4.6594779,1747.48,11.2,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,40,40;47;53,SPOC,120,81,17.38
TIC 219698950,219698950,HATS-1 b,3.446459,16614.8,11.51,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.56,6.55
TIC 220076110,220076110,TOI-2796 b,4.8084983,22400,11.92,catalog_pl_trandep,survey-wide known-planet recovery rate,98,98,SPOC,120,48.05,9.99
TIC 220479565,220479565,TOI-269 b,3.6977104,4071.32,12.3,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.64,5.85
TIC 221861843,221861843,TOI-3486 b,2.2177811,15150,11.49,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,23.3,10.51
TIC 224225541,224225541,TOI-251 b,4.93777,813.001,9.326,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,96,96,SPOC,120,22.23,4.50
TIC 228381868,228381868,WASP-165 b,3.465509,5440,12.07,catalog_pl_trandep,survey-wide known-planet recovery rate,96,96,SPOC,120,22.05,6.36
TIC 229047362,229047362,WASP-25 b,3.7648337,20511.2,11.22,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,101,101,SPOC,120,22.16,5.89
TIC 231670397,231670397,WASP-73 b,4.08722,3300,9.864,catalog_pl_trandep,survey-wide known-planet recovery rate,94,94,SPOC,120,21.77,5.33
TIC 231736113,231736113,TOI-1406.01,10.573982,5460,11.43,catalog_toi_pl_trandep,survey-wide known-planet recovery rate,98,98,SPOC,120,48.05,4.54
TIC 232038798,232038798,WASP-168 b,4.153658,11900,11.32,catalog_pl_trandep,survey-wide known-planet recovery rate,98,98,SPOC,120,50.99,12.28
TIC 233087860,233087860,TOI-1184 b,5.7484338,1008.41,9.947,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,14,14;15;16,SPOC,120,81,14.09
TIC 234523599,234523599,HATS-71 b,3.7955202,48403.2,14.13,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,95,95,SPOC,120,21.83,5.75
TIC 234994474,234994474,L 168-9 b,1.401526,612.129,9.23,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,95,95;102;104,SPOC,120,81,57.79
TIC 235078021,235078021,TOI-4747 b,5.2192416,1346.87,11.81,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,51.03,9.78
TIC 236387002,236387002,TOI-2119.01,7.2008611,50063,10.4,catalog_toi_pl_trandep,survey-wide known-planet recovery rate,24,24;25;51,SPOC,120,81,11.25
TIC 238176110,238176110,WASP-91 b,2.798581,15000,11.04,catalog_pl_trandep,survey-wide known-planet recovery rate,94,94,SPOC,120,21.98,7.85
TIC 239332587,239332587,GJ 806 b,0.9263237,867.078,8.728,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,75,75;76;82,SPOC,120,81,87.44
TIC 240968774,240968774,TOI-1467 b,5.9711471,1285.23,10.6,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,17,17;18;58,SPOC,120,81,13.57
TIC 243641947,243641947,TOI-3235 b,2.5926184,79912.9,13.25,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,101,101,SPOC,120,22.08,8.52
TIC 248075138,248075138,WASP-42 b,4.9816819,16708.3,11.37,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,101,101,SPOC,120,21.8,4.38
TIC 248111245,248111245,HATS-27 b,4.637038,7848.01,12.33,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,23.4,5.05
TIC 248351386,248351386,K2-204 b,7.055908,538,12.46,catalog_pl_trandep,survey-wide known-planet recovery rate,97,97,SPOC,120,50.16,7.11
TIC 248853232,248853232,WASP-69 b,3.8681388,16462.2,8.863,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,55,55;81;92,SPOC,120,81,20.94
TIC 254113311,254113311,TOI-1130 b,4.074554,2317.6,10.14,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.74,5.34
TIC 255685030,255685030,TOI-799 b,5.5451914,428.155,10.59,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,95,95,SPOC,120,21.66,3.91
TIC 259168516,259168516,TOI-1680 b,4.8026345,4070,13.31,catalog_pl_trandep,survey-wide known-planet recovery rate,14,14;15;16,SPOC,120,74.45,15.50
TIC 259377017,259377017,TOI-270 c,5.66051,3159.99,10.5,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,97,97,SPOC,120,50.34,8.89
TIC 260004324,260004324,LHS 1815 b,3.814334,396.391,10.14,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,1,1;2;3,SPOC,120,81,21.24
TIC 260647166,260647166,HD 108236 c,6.203449,469,8.652,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,23.66,3.81
TIC 260708537,260708537,GJ 238 b,1.7446999,144.682,9.369,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,1,1;2;3,SPOC,120,81,46.43
TIC 261136679,261136679,pi Men c,6.2678399,267.59,5.105,catalog_pl_trandep,survey-wide known-planet recovery rate,94,94,SPOC,120,22.06,3.52
TIC 261867566,261867566,TOI-905 b,3.739494,17180,10.57,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,22.96,6.14
TIC 262530407,262530407,GJ 3090 b,2.853102,1500.22,9.493,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,96,96;103;104,SPOC,120,81,28.39
TIC 267263253,267263253,HD 2685 b,4.12688,8998.11,9.22,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,22.06,5.35
TIC 268766053,268766053,WASP-53 b,3.3098443,19128.4,11.76,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,97,97,SPOC,120,50.16,15.16
TIC 269217040,269217040,KELT-10 b,4.1662739,14160,10.27,catalog_pl_trandep,survey-wide known-planet recovery rate,94,94,SPOC,120,22.01,5.28
TIC 271168962,271168962,WASP-131 b,5.3220125,6517,9.472,catalog_pl_trandep,survey-wide known-planet recovery rate,102,102,SPOC,120,21.6,4.06
TIC 271169413,271169413,TOI-4559 b,3.965991,1200,10.91,catalog_pl_trandep,survey-wide known-planet recovery rate,11,11;38;64,SPOC,120,81,20.42
TIC 271478281,271478281,TOI-2194 b,15.337597,696.736,7.426,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,67,67;92;94,SPOC,120,81,5.28
TIC 271893367,271893367,TOI-150.01,5.857487,7142.56,10.9,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.72,3.71
TIC 272212970,272212970,HATS-67 b,1.6091788,14439.3,13.17,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.63,14.07
TIC 272213425,272213425,HATS-56 b,4.324799,6211.27,11.11,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.69,5.25
TIC 274367763,274367763,TOI-3474 b,3.8795105,11480,11.97,catalog_pl_trandep,survey-wide known-planet recovery rate,102,102,SPOC,120,22.17,5.72
TIC 278775625,278775625,TOI-921 b,5.1287191,805.438,11.26,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.72,4.23
TIC 282485660,282485660,TOI-5005 b,6.3085044,3800,11.13,catalog_pl_trandep,survey-wide known-planet recovery rate,103,103,SPOC,120,22.52,3.57
TIC 285048486,285048486,TOI-1728 b,3.49151,5499.68,10.79,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,20,20;47;74,SPOC,120,81,23.20
TIC 286099128,286099128,TOI-3422.01,3.7788779,17654.1,12.24,catalog_toi_pl_trandep,survey-wide known-planet recovery rate,99,99,SPOC,120,23.24,6.15
TIC 286865921,286865921,WASP-83 b,4.971252,10400,11.5,catalog_pl_trandep,survey-wide known-planet recovery rate,101,101,SPOC,120,22.16,4.46
TIC 287139872,287139872,TOI-1752 b,0.9351861,857.638,12.75,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,14,14;15;16,SPOC,120,77.05,82.39
TIC 287328202,287328202,TOI-6707 b,3.8347936,1101.36,12.33,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.79,5.68
TIC 287563610,287563610,TOI-840.01,3.7993182,7590,13.05,catalog_toi_pl_trandep,survey-wide known-planet recovery rate,101,101,SPOC,120,21.97,5.78
TIC 289793076,289793076,HATS-13 b,3.0440499,19716.7,13.16,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,95,95,SPOC,120,21.99,7.22
TIC 290131778,290131778,HD 202772 A b,3.3088775,4670,7.876,catalog_pl_trandep,survey-wide known-planet recovery rate,95,95,SPOC,120,22.12,6.69
TIC 290348383,290348383,HD 207496 b,6.441008,719.538,7.366,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,101,101;102;103,SPOC,120,81,12.58
TIC 290504044,290504044,TOI-3464 b,3.6515568,6540,12.07,catalog_pl_trandep,survey-wide known-planet recovery rate,103,103,SPOC,120,22.3,6.11
TIC 293435336,293435336,WASP-76 b,1.809882,11780,9.027,catalog_pl_trandep,survey-wide known-planet recovery rate,97,97,SPOC,120,48.24,26.65
TIC 293457754,293457754,WASP-181 b,4.5195064,15900,12.36,catalog_pl_trandep,survey-wide known-planet recovery rate,97,97,SPOC,120,50.29,11.13
TIC 293607057,293607057,BD-14 3065 b,4.2889731,6490,10.63,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,22.28,5.19
TIC 293612446,293612446,K2-260 b,2.6266976,9250,12.04,catalog_pl_trandep,survey-wide known-planet recovery rate,98,98,SPOC,120,50.71,19.31
TIC 295541511,295541511,TOI-1117 b,2.22816,461.353,10.41,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.84,10.25
TIC 296739893,296739893,TOI-620 b,5.0988179,3930,10.21,catalog_pl_trandep,survey-wide known-planet recovery rate,62,62;89;99,SPOC,120,81,15.89
TIC 299798795,299798795,TOI-1224 b,4.1782745,2280,11.56,catalog_pl_trandep,survey-wide known-planet recovery rate,95,95,SPOC,120,21.56,5.16
TIC 299799658,299799658,TOI-1062 b,4.11296,611.11,9.478,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,22.06,5.36
TIC 301289516,301289516,GJ 9827 d,6.20183,979.526,9.068,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,42,42;70;92,SPOC,120,81,13.06
TIC 305048087,305048087,TOI-237 b,5.436098,3800,13.41,catalog_pl_trandep,survey-wide known-planet recovery rate,96,96,SPOC,120,22.2,4.08
TIC 305424003,305424003,TOI-907.01,4.5849129,1831.79,9.944,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,23.32,5.09
TIC 305739565,305739565,NGTS-27 b,3.3704181,6568.98,12.88,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,102,102,SPOC,120,21.4,6.35
TIC 306362738,306362738,WASP-49 b,2.78174,14000,10.82,catalog_pl_trandep,survey-wide known-planet recovery rate,98,98,SPOC,120,50.85,18.28
TIC 306648160,306648160,TOI-3321 b,3.6525145,9660,10.67,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,23.03,6.31
TIC 307210830,307210830,L 98-59 c,3.6906764,1486,9.412,catalog_pl_trandep,survey-wide known-planet recovery rate,96,96,SPOC,120,21.79,5.90
TIC 307221757,307221757,TOI-4930 b,6.7813024,3006.03,12.07,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,101,101,SPOC,120,22.15,3.27
TIC 307809773,307809773,HD 260655 c,5.70588,1024.94,7.899,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,43,43;44;45,SPOC,120,81,14.20
TIC 315002523,315002523,HATS-26 b,3.3023881,7771.25,12.43,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,99,99,SPOC,120,24.86,7.53
TIC 317483660,317483660,TOI-2346 b,3.3312029,11470,11.56,catalog_pl_trandep,survey-wide known-planet recovery rate,98,98,SPOC,120,50.84,15.26
TIC 317548889,317548889,TOI-480 b,6.866196,309.267,6.78,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,50.85,7.41
TIC 325682877,325682877,TOI-4363 b,2.1186759,549.04,11.25,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,97,97,SPOC,120,50.17,23.68
TIC 333605244,333605244,K2-203 b,9.6952,230,11.55,catalog_pl_trandep,survey-wide known-planet recovery rate,97,97,SPOC,120,50.16,5.17
TIC 339522221,339522221,HATS-35 b,1.8209993,11022.1,12.05,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.91,12.03
TIC 341405597,341405597,TOI-6699 b,5.3200593,802.114,10.4,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.97,4.13
TIC 348755728,348755728,TOI-1883 b,4.508,10479.4,13.35,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,99,99,SPOC,120,21.75,4.83
TIC 348835438,348835438,TOI-2669 b,6.2034,1945.95,9.992,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,99,99,SPOC,120,23.21,3.74
TIC 349972412,349972412,TOI-4504 b,2.4261516,682.445,12.55,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.74,8.96
