target,tic_id,planet,expected_period_days,expected_depth_ppm,tmag,source_rowupdate,purpose,sector,sectors,author,cadence_seconds,observed_baseline_days,expected_transits
TIC 425817867,425817867,WASP-110 b,3.7784022,20106.1,12.05,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.88,5.79
TIC 425997655,425997655,HD 23472 d,3.97664,93.788,8.751,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,95,95,SPOC,120,21.9,5.51
TIC 429304876,429304876,TOI-682.01,6.8392388,1213,9.223,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,23.13,3.38
TIC 436575927,436575927,K2-394 b,5.095717,604.343,11.44,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,43,43;44;70,SPOC,120,81,15.90
TIC 437242640,437242640,WASP-34 b,4.31768,13000,9.757,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,22.94,5.31
TIC 437248515,437248515,WASP-31 b,3.4059096,16150,11.46,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,22.35,6.56
TIC 437261733,437261733,HATS-59 b,5.416081,12474.8,13.3,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.46,4.15
TIC 439456714,439456714,TOI-277 b,3.994,4504.18,11.73,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,97,97,SPOC,120,49.77,12.46
TIC 441422655,441422655,NGTS-21 b,1.5433897,25256.9,14.55,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,95,95,SPOC,120,21.81,14.13
TIC 441738827,441738827,TOI-2084 b,6.0784247,1950,13.33,catalog_pl_trandep,survey-wide known-planet recovery rate,16,16,SPOC,120,22.04,3.63
TIC 445903569,445903569,TOI-1994 b,4.0337142,2969,10.24,catalog_pl_trandep,survey-wide known-planet recovery rate,99,99,SPOC,120,25.66,6.36
TIC 446549906,446549906,TOI-2107 b,2.4545467,21310,11.38,catalog_pl_trandep,survey-wide known-planet recovery rate,94,94,SPOC,120,22.08,8.99
TIC 448098793,448098793,TOI-3135 b,3.7065585,16160,11.1,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,23.49,6.34
TIC 448589187,448589187,WASP-175 b,3.0652907,10640,12.31,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,22.46,7.33
TIC 449197831,449197831,TOI-2458 b,3.73659,391.8,8.71,catalog_pl_trandep,survey-wide known-planet recovery rate,98,98,SPOC,120,50.31,13.46
TIC 452006073,452006073,TOI-3071 b,1.266938,2510.87,11.87,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,23.58,18.61
TIC 452808876,452808876,WASP-82 b,2.70579,6300,9.539,catalog_pl_trandep,survey-wide known-planet recovery rate,98,98,SPOC,120,48.05,17.76
TIC 452866790,452866790,GJ 3473 b,1.1980035,1013.52,11.2,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,7,7;34;61,SPOC,120,81,67.61
TIC 453668803,453668803,TOI-6564 b,3.985413,7821.04,9.569,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,23.58,5.92
TIC 453789494,453789494,WASP-172 b,5.477433,7200,10.73,catalog_pl_trandep,survey-wide known-planet recovery rate,101,101,SPOC,120,22.19,4.05
TIC 454069765,454069765,NGTS-13 b,4.119027,4300,12.11,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,22.97,5.58
TIC 455036659,455036659,HAT-P-64 b,4.007232,10174.3,12.16,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,48.05,11.99
TIC 466840711,466840711,OGLE2-TR-L9 b,2.4855335,11770,14.15,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,23.91,9.62
TIC 467971286,467971286,HATS-69 b,2.2252577,12219.6,13.19,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.64,9.72
TIC 915110182,915110182,OGLE-TR-113 b,1.4324752,21030,14.7,catalog_pl_trandep,survey-wide known-planet recovery rate,99,99,SPOC,120,25.66,17.91
