target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,teff_k,stellar_radius_solar,stellar_mass_solar,distance_pc,luminosity_class,stellar_selection_tier,small_planet_merit,selection_rank
TIC 389042478,389042478,100,100,14.22,177.8059,-53.5352,3,2,3320.0,0.487179,0.485242,162.447,DWARF,0,2.219377,867
TIC 467342418,467342418,100,100,14.06,168.1383,-64.3406,3,2,3281.0,0.505571,0.503534,148.687,DWARF,0,2.219564,868
TIC 404179007,404179007,100,100,14.59,195.3052,-50.5633,3,1,3211.0,0.448636,0.445094,160.971,DWARF,0,2.221788,869
TIC 467452492,467452492,100,100,14.07,168.6602,-59.8993,3,2,3332.0,0.507418,0.505339,155.571,DWARF,0,2.224732,870
TIC 241289379,241289379,100,100,14.01,203.6793,-52.8698,3,1,3140.0,0.514996,0.512679,143.593,DWARF,0,2.225608,871
TIC 15523400,15523400,100,100,14.27,185.516,-48.6883,2,2,3044.0,0.485771,0.483818,140.652,DWARF,0,2.226863,872
TIC 398545770,398545770,100,100,14.73,180.0258,-54.1688,3,2,2872.0,0.441702,0.437631,,DWARF,0,2.236259,873
TIC 342590021,342590021,100,100,14.06,204.9961,-69.962,3,3,3331.0,0.516155,0.513793,155.072,DWARF,0,2.23756,874
TIC 320552201,320552201,100,100,14.88,174.8671,-60.6592,3,2,3042.0,0.429019,0.423814,,DWARF,0,2.240953,875
TIC 451040885,451040885,100,100,14.62,170.3102,-57.5689,3,2,3229.0,0.455601,0.452519,166.688,DWARF,0,2.241169,876
TIC 268251904,268251904,100,100,14.36,176.7155,-56.3075,3,2,3322.0,0.483919,0.481939,,DWARF,0,2.241545,877
TIC 306148837,306148837,100,100,14.35,166.355,-56.3639,3,2,3271.0,0.485322,0.483363,161.429,DWARF,0,2.24206,878
TIC 383421223,383421223,100,100,14.67,183.84,-65.775,3,3,3264.0,0.452051,0.448744,170.628,DWARF,0,2.244375,879
TIC 466982490,466982490,100,100,14.08,167.5658,-64.323,3,2,3234.0,0.518691,0.516221,149.758,DWARF,0,2.245817,880
TIC 315707108,315707108,100,100,14.9,171.2917,-62.6368,3,2,3204.0,0.430538,0.425479,172.547,DWARF,0,2.248023,881
