target,tic_id,sectors,artifact_epoch_btjd,prior_depth_snr,prior_passes,prior_period_days,prior_pipeline_version,prior_transit_time,shared_epochs_seen,source_campaigns
TIC 341776926,341776926,100,4080.8,5.3975,False,1.014595,processed-lc-v2,4074.835981,4080.8,sector100_expansion_5000
TIC 341787179,341787179,100,4074.4,204.7975,False,0.784208,processed-lc-v2,4074.761551,4074.4,sector100_expansion_5000
TIC 341971195,341971195,100,4080.8,8.8111,True,6.747797,processed-lc-v2,4078.995404,4080.8,sector100_expansion_5000
TIC 341971215,341971215,100,4080.8,9.4014,False,6.377041,processed-lc-v2,4080.338113,4080.8,sector100_expansion_5000
TIC 343448916,343448916,100,4074.4,25.9807,False,1.131669,processed-lc-v2,4075.009669,4074.4,sector100_expansion_5000
TIC 347590875,347590875,100,4080.8,12.1421,True,7.846534,processed-lc-v2,4080.247253,4080.8,sector100_expansion_5000
TIC 359698428,359698428,100,4080.8,8.5265,False,3.275304,processed-lc-v2,4075.943577,4080.8,sector100_expansion_5000
TIC 360057586,360057586,100,4074.4,25.2874,False,0.903216,processed-lc-v2,4075.161534,4074.4,sector100_expansion_5000
TIC 360627462,360627462,100,4074.4,58.7249,True,1.972012,processed-lc-v2,4074.442351,4074.4,sector100_expansion_5000
TIC 361457098,361457098,100,4080.8,7.2531,False,0.968693,processed-lc-v2,4074.451519,4080.8,sector100_expansion_5000
TIC 361871362,361871362,100,4080.8,7.8824,True,9.278975,processed-lc-v2,4080.855787,4080.8,sector100_expansion_5000
TIC 374158843,374158843,100,4080.8,6.1978,False,1.166851,processed-lc-v2,4074.611735,4080.8,sector100_expansion_5000
TIC 375570991,375570991,100,4080.8,11.9143,True,6.368473,processed-lc-v2,4080.509555,4080.8,sector100_expansion_5000
TIC 375570995,375570995,100,4074.4,7.054,False,6.306483,processed-lc-v2,4074.322055,4074.4,sector100_expansion_5000
TIC 375729536,375729536,100,4080.8,45.4835,False,0.534238,processed-lc-v2,4074.408158,4080.8,sector100_expansion_5000
TIC 376212372,376212372,100,4080.8,5.7635,False,0.619334,processed-lc-v2,4074.80498,4080.8,sector100_expansion_5000
TIC 376746161,376746161,100,4080.8,23.0197,False,6.675586,processed-lc-v2,4074.85997,4080.8,sector100_expansion_5000
TIC 379133054,379133054,100,4080.8,6.6924,False,6.324068,processed-lc-v2,4074.173367,4080.8,sector100_expansion_5000
TIC 379542809,379542809,100,4074.4,24.6008,True,6.947146,processed-lc-v2,4078.505944,4074.4,sector100_expansion_5000
TIC 380347426,380347426,100,4080.8,13.1015,True,6.249518,processed-lc-v2,4074.534854,4080.8,sector100_expansion_5000
TIC 381035913,381035913,100,4080.8,10.7923,True,9.370814,processed-lc-v2,4080.600488,4080.8,sector100_expansion_5000
TIC 381627825,381627825,100,4080.8,22.3122,True,2.02111,processed-lc-v2,4074.966267,4080.8,sector100_expansion_5000
TIC 381942312,381942312,100,4080.8,9.0479,True,9.426633,processed-lc-v2,4080.798397,4080.8,sector100_expansion_5000
TIC 382393917,382393917,100,4080.8,191.4884,False,0.892084,processed-lc-v2,4074.20256,4080.8,sector100_expansion_5000
TIC 382619722,382619722,100,4080.8,53.7353,False,0.763656,processed-lc-v2,4074.119254,4080.8,sector100_expansion_5000
TIC 382980571,382980571,100,4080.8,5.8561,False,6.177331,processed-lc-v2,4075.165063,4080.8,sector100_expansion_5000
TIC 384423732,384423732,100,4074.4,64.4152,False,0.587702,processed-lc-v2,4074.485087,4074.4,sector100_expansion_5000
TIC 389256752,389256752,100,4080.8,7.0354,False,0.942007,processed-lc-v2,4074.726773,4080.8,sector100_expansion_5000
TIC 389934471,389934471,100,4074.4,273.137,False,0.546558,processed-lc-v2,4074.771983,4074.4,sector100_expansion_5000
TIC 390066015,390066015,100,4080.8,14.6964,False,1.408697,processed-lc-v2,4074.450769,4080.8,sector100_expansion_5000
TIC 390078623,390078623,100,4080.8,4.2625,False,0.569015,processed-lc-v2,4074.122691,4080.8,sector100_expansion_5000
TIC 391808645,391808645,100,4080.8,8.3921,False,1.100136,processed-lc-v2,4074.638292,4080.8,sector100_expansion_5000
TIC 391843469,391843469,100,4080.8,8.8665,False,0.830298,processed-lc-v2,4074.769612,4080.8,sector100_expansion_5000
TIC 392244914,392244914,100,4080.8,6.0926,False,0.560762,processed-lc-v2,4074.14804,4080.8,sector100_expansion_5000
TIC 392244915,392244915,100,4080.8,11.4298,False,0.560779,processed-lc-v2,4074.14804,4080.8,sector100_expansion_5000
TIC 393001368,393001368,100,4080.8,14.4403,True,9.786142,processed-lc-v2,4080.773152,4080.8,sector100_expansion_5000
TIC 394164117,394164117,100,4080.8,10.4126,True,6.493485,processed-lc-v2,4079.946312,4080.8,sector100_expansion_5000
TIC 395300994,395300994,100,4074.4,76.2513,False,0.571641,processed-lc-v2,4074.404437,4074.4,sector100_expansion_5000
TIC 395688038,395688038,100,4080.8,6.225,False,8.294674,processed-lc-v2,4074.697112,4080.8,sector100_expansion_5000
TIC 396826652,396826652,100,4074.4,5.5482,False,0.664493,processed-lc-v2,4074.844009,4074.4,sector100_expansion_5000
TIC 397365827,397365827,100,4080.8,5.4602,False,0.823192,processed-lc-v2,4074.303703,4080.8,sector100_expansion_5000
TIC 397423548,397423548,100,4080.8,5.7254,False,3.851902,processed-lc-v2,4074.009367,4080.8,sector100_expansion_5000
TIC 401181197,401181197,100,4074.4,2136.321,False,0.508134,processed-lc-v2,4074.37901,4074.4,sector100_expansion_5000
TIC 403763751,403763751,100,4080.8,5.2906,False,6.115855,processed-lc-v2,4074.66252,4080.8,sector100_expansion_5000
TIC 404144841,404144841,100,4074.4,117.9898,False,0.894834,processed-lc-v2,4074.427163,4074.4,sector100_expansion_5000
TIC 405382498,405382498,100,4080.8,6.7705,False,4.692069,processed-lc-v2,4074.058137,4080.8,sector100_expansion_5000
TIC 405386564,405386564,100,4080.8,5.6544,False,1.423512,processed-lc-v2,4074.545728,4080.8,sector100_expansion_5000
TIC 405984125,405984125,100,4080.8,6.7103,False,4.859344,processed-lc-v2,4074.8389,4080.8,sector100_expansion_5000
TIC 405984131,405984131,100,4080.8,7.5182,True,0.88716,processed-lc-v2,4074.2764,4080.8,sector100_expansion_5000
TIC 406618658,406618658,100,4074.4,52.5336,False,3.420316,processed-lc-v2,4074.418151,4074.4,sector100_expansion_5000
TIC 406694754,406694754,100,4080.8,5.8448,False,5.989797,processed-lc-v2,4074.010639,4080.8,sector100_expansion_5000
TIC 410062743,410062743,100,4074.4,188.363,False,0.617773,processed-lc-v2,4074.983407,4074.4,sector100_expansion_5000
TIC 410349072,410349072,100,4074.4,5.4577,False,0.999688,processed-lc-v2,4074.680949,4074.4,sector100_expansion_5000
TIC 410427235,410427235,100,4080.8,5.3237,False,1.008533,processed-lc-v2,4075.384329,4080.8,sector100_expansion_5000
TIC 411357190,411357190,100,4074.4,47.8438,True,2.197032,processed-lc-v2,4074.769619,4074.4,sector100_expansion_5000
TIC 411505379,411505379,100,4074.4,16.4722,True,9.265873,processed-lc-v2,4080.857484,4074.4,sector100_expansion_5000
TIC 411614049,411614049,100,4080.8,12.8696,False,6.329667,processed-lc-v2,4074.214338,4080.8,sector100_expansion_5000
TIC 411689184,411689184,100,4080.8,17.0095,True,1.759878,processed-lc-v2,4074.261052,4080.8,sector100_expansion_5000
TIC 411873161,411873161,100,4074.4,57.1351,False,0.659472,processed-lc-v2,4074.746583,4074.4,sector100_expansion_5000
