target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,selection_rank
TIC 79270121,79270121,105,105,8.89,318.2435,-49.9285,1,1,1
TIC 197596057,197596057,105,105,9.16,327.0849,-38.3708,1,2,2
TIC 290665111,290665111,105,105,9.07,307.4763,-40.3744,1,3,3
TIC 406238334,406238334,105,105,8.87,293.2684,-52.5513,1,4,4
TIC 339578682,339578682,105,105,9.02,359.3939,-58.8255,2,1,5
TIC 175392316,175392316,105,105,9.29,349.007,-40.3745,2,2,6
TIC 44627177,44627177,105,105,9.24,341.608,-42.5094,2,3,7
TIC 259718515,259718515,105,105,8.93,322.5924,-60.4643,2,4,8
TIC 80340324,80340324,105,105,9.29,8.9984,-41.9961,3,1,9
TIC 201335011,201335011,105,105,9.08,5.0465,-55.994,3,2,10
TIC 142218933,142218933,105,105,9.16,39.0166,-47.0826,3,3,11
TIC 111289478,111289478,105,105,9.33,31.2954,-38.6727,3,4,12
TIC 72668629,72668629,105,105,9.14,33.3533,-28.9701,4,1,13
TIC 142266760,142266760,105,105,9.03,39.7108,-43.8231,4,2,14
TIC 369362791,369362791,105,105,8.98,53.675,-37.0386,4,3,15
TIC 209450029,209450029,105,105,9.2,45.6304,-31.5945,4,4,16
TIC 366988231,366988231,105,105,8.91,301.9902,-56.6645,1,1,17
TIC 126658868,126658868,105,105,9.18,315.2239,-42.1443,1,2,18
TIC 269527382,269527382,105,105,9.1,301.5402,-39.3793,1,3,19
TIC 219020154,219020154,105,105,8.88,286.5166,-48.1635,1,4,20
TIC 201307489,201307489,105,105,9.04,3.7854,-57.2074,2,1,21
TIC 360148433,360148433,105,105,9.29,353.3365,-47.3032,2,2,22
TIC 152867449,152867449,105,105,9.26,337.0335,-41.3223,2,3,23
TIC 370250759,370250759,105,105,8.93,335.8784,-54.2924,2,4,24
TIC 120584131,120584131,105,105,9.3,4.2377,-38.1978,3,1,25
TIC 369666413,369666413,105,105,9.11,12.7163,-52.3518,3,2,26
TIC 166767005,166767005,105,105,9.16,38.0841,-48.8253,3,3,27
TIC 41897721,41897721,105,105,9.34,21.6632,-36.9129,3,4,28
TIC 70554152,70554152,105,105,9.15,33.603,-34.3151,4,1,29
TIC 129741794,129741794,105,105,9.05,35.2532,-40.8432,4,2,30
TIC 129814088,129814088,105,105,8.99,54.6568,-36.6831,4,3,31
TIC 88379410,88379410,105,105,9.21,44.8704,-28.3743,4,4,32
TIC 387191408,387191408,105,105,8.92,304.0269,-56.5067,1,1,33
TIC 126564822,126564822,105,105,9.21,314.2117,-42.1914,1,2,34
TIC 92444059,92444059,105,105,9.12,314.3874,-34.5749,1,3,35
TIC 370080615,370080615,105,105,8.88,297.358,-50.5452,1,4,36
TIC 234299476,234299476,105,105,9.04,358.669,-60.8599,2,1,37
TIC 393962232,393962232,105,105,9.29,352.4622,-40.8665,2,2,38
TIC 147384367,147384367,105,105,9.28,326.7932,-46.4508,2,3,39
TIC 403206837,403206837,105,105,8.94,338.1429,-58.2215,2,4,40
TIC 160188392,160188392,105,105,9.32,6.3891,-44.9685,3,1,41
TIC 156075569,156075569,105,105,9.12,10.6473,-49.7312,3,2,42
TIC 229144504,229144504,105,105,9.18,26.8538,-53.8825,3,3,43
TIC 32419062,32419062,105,105,9.35,26.6735,-34.8559,3,4,44
TIC 72691619,72691619,105,105,9.15,33.8051,-27.4493,4,1,45
TIC 215336287,215336287,105,105,9.11,42.7893,-38.0814,4,2,46
TIC 166850491,166850491,105,105,9.0,58.8937,-31.2839,4,3,47
TIC 89094856,89094856,105,105,9.23,54.593,-24.0074,4,4,48
TIC 387191568,387191568,105,105,8.92,303.9318,-56.776,1,1,49
TIC 126659093,126659093,105,105,9.26,315.1466,-42.6558,1,2,50
TIC 439422342,439422342,105,105,9.15,301.2125,-31.4729,1,3,51
TIC 421360083,421360083,105,105,8.9,292.741,-44.7543,1,4,52
TIC 355689565,355689565,105,105,9.06,0.732,-62.8723,2,1,53
TIC 139148768,139148768,105,105,9.3,344.5784,-45.927,2,2,54
TIC 44577737,44577737,105,105,9.29,340.606,-47.3996,2,3,55
TIC 231698310,231698310,105,105,8.97,330.7112,-57.2639,2,4,56
TIC 7147915,7147915,105,105,9.35,5.0277,-46.7359,3,1,57
TIC 206500880,206500880,105,105,9.12,15.7228,-54.9163,3,2,58
TIC 166732075,166732075,105,105,9.2,36.2395,-48.0959,3,3,59
TIC 32432469,32432469,105,105,9.35,27.2054,-35.5367,3,4,60
TIC 146247774,146247774,105,105,9.16,34.5895,-34.4646,4,1,61
TIC 321067331,321067331,105,105,9.11,44.1957,-36.1545,4,2,62
TIC 142937186,142937186,105,105,9.01,52.2923,-31.3627,4,3,63
TIC 64031614,64031614,105,105,9.26,37.7198,-23.1742,4,4,64
TIC 100229370,100229370,105,105,8.96,306.4847,-53.1235,1,1,65
TIC 159777395,159777395,105,105,9.26,319.4597,-39.7494,1,2,66
TIC 291011039,291011039,105,105,9.17,309.2304,-36.7959,1,3,67
TIC 158517339,158517339,105,105,8.93,295.0148,-52.8889,1,4,68
TIC 201287915,201287915,105,105,9.09,2.0317,-57.8636,2,1,69
TIC 139198430,139198430,105,105,9.31,345.6309,-46.0852,2,2,70
TIC 278848684,278848684,105,105,9.33,336.8247,-41.0677,2,3,71
TIC 406275275,406275275,105,105,8.99,325.6612,-62.1107,2,4,72
TIC 200659405,200659405,105,105,9.36,2.6566,-49.2818,3,1,73
TIC 281779463,281779463,105,105,9.12,12.8838,-58.3707,3,2,74
TIC 166746526,166746526,105,105,9.21,37.3024,-49.519,3,3,75
TIC 115349905,115349905,105,105,9.38,27.8441,-41.2387,3,4,76
TIC 122613547,122613547,105,105,9.2,41.0728,-31.9317,4,1,77
TIC 142178693,142178693,105,105,9.13,37.6358,-43.7066,4,2,78
TIC 160116483,160116483,105,105,9.01,59.5011,-38.0318,4,3,79
TIC 97506184,97506184,105,105,9.29,44.2607,-22.7023,4,4,80
TIC 100360477,100360477,105,105,8.96,307.5591,-51.7533,1,1,81
TIC 320937125,320937125,105,105,9.26,324.4523,-37.7011,1,2,82
TIC 441300067,441300067,105,105,9.18,308.1406,-34.0909,1,3,83
TIC 166206219,166206219,105,105,8.97,295.1477,-51.8333,1,4,84
TIC 402048186,402048186,105,105,9.15,352.411,-53.419,2,1,85
TIC 206362493,206362493,105,105,9.38,356.8979,-50.8019,2,2,86
TIC 140050588,140050588,105,105,9.34,330.0675,-48.8415,2,3,87
TIC 238814402,238814402,105,105,9.0,327.3342,-60.3322,2,4,88
TIC 314017811,314017811,105,105,9.36,2.3957,-46.3753,3,1,89
TIC 206608071,206608071,105,105,9.14,22.2504,-55.6194,3,2,90
TIC 229117439,229117439,105,105,9.21,25.4816,-48.9691,3,3,91
TIC 41858921,41858921,105,105,9.41,20.2884,-36.8997,3,4,92
TIC 72730500,72730500,105,105,9.21,34.4431,-28.5303,4,1,93
TIC 301050533,301050533,105,105,9.13,48.2275,-43.2364,4,2,94
TIC 44670258,44670258,105,105,9.02,60.0166,-29.038,4,3,95
TIC 204612037,204612037,105,105,9.29,41.5082,-23.5922,4,4,96
TIC 91100264,91100264,105,105,8.97,309.7518,-46.259,1,1,97
TIC 382371577,382371577,105,105,9.33,320.309,-42.5793,1,2,98
TIC 269766393,269766393,105,105,9.21,302.4278,-35.9976,1,3,99
TIC 80164917,80164917,105,105,9.0,298.1228,-47.4452,1,4,100
TIC 355687729,355687729,105,105,9.16,0.6378,-61.3916,2,1,101
TIC 139300806,139300806,105,105,9.39,348.1276,-44.4164,2,2,102
TIC 92219706,92219706,105,105,9.36,334.7838,-45.1335,2,3,103
TIC 219316150,219316150,105,105,9.01,320.2774,-57.7955,2,4,104
TIC 80376087,80376087,105,105,9.4,9.9326,-43.5922,3,1,105
TIC 469974682,469974682,105,105,9.15,7.965,-60.9452,3,2,106
TIC 369604213,369604213,105,105,9.29,21.9361,-46.2365,3,3,107
TIC 140476568,140476568,105,105,9.47,20.869,-34.6468,3,4,108
TIC 123368029,123368029,105,105,9.21,31.6388,-34.8283,4,1,109
TIC 165160580,165160580,105,105,9.14,47.0016,-38.843,4,2,110
TIC 166741134,166741134,105,105,9.02,56.1023,-35.7716,4,3,111
TIC 322515993,322515993,105,105,9.3,44.856,-18.1354,4,4,112
TIC 100196783,100196783,105,105,8.98,306.0493,-51.7237,1,1,113
TIC 114986541,114986541,105,105,9.34,315.4587,-40.9312,1,2,114
TIC 290755578,290755578,105,105,9.24,307.7823,-38.6801,1,3,115
TIC 101695873,101695873,105,105,9.01,302.9504,-49.7634,1,4,116
TIC 381922972,381922972,105,105,9.16,351.1075,-54.0252,2,1,117
TIC 139132083,139132083,105,105,9.43,344.4253,-47.2703,2,2,118
TIC 88245970,88245970,105,105,9.38,332.755,-47.4379,2,3,119
TIC 140049346,140049346,105,105,9.02,329.8515,-50.9695,2,4,120
TIC 102032659,102032659,105,105,9.44,16.2563,-45.4352,3,1,121
TIC 155912332,155912332,105,105,9.16,4.5767,-52.7798,3,2,122
TIC 138735221,138735221,105,105,9.31,33.442,-41.7754,3,3,123
TIC 183594679,183594679,105,105,9.47,18.124,-41.2924,3,4,124
TIC 178171265,178171265,105,105,9.21,43.1515,-32.6311,4,1,125
TIC 146732724,146732724,105,105,9.17,45.955,-43.021,4,2,126
TIC 176833477,176833477,105,105,9.03,49.1344,-32.82,4,3,127
