target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,teff_k,stellar_radius_solar,stellar_mass_solar,distance_pc,luminosity_class,stellar_selection_tier,small_planet_merit,selection_rank
TIC 276538313,276538313,100,100,9.7,264.57,-78.7738,4,3,8480.0,1.8453,2.11,364.69,DWARF,2,2.472134,383
TIC 294609312,294609312,100,100,8.05,267.0195,-67.3836,4,4,8127.0,2.67454,1.98,248.163,DWARF,2,2.464498,384
TIC 71159672,71159672,100,100,10.59,153.811,-31.094,1,1,9472.0,3.59285,2.41,1253.69,DWARF,2,3.228878,385
TIC 334886280,334886280,100,100,9.77,171.612,-16.5928,1,2,6175.0,2.87412,1.179,403.004,DWARF,2,2.87101,386
TIC 332817395,332817395,100,100,8.87,164.9538,-13.3541,1,3,5258.0,3.85769,,262.856,GIANT,6,2.946655,387
TIC 410010991,410010991,100,100,8.11,145.8351,-13.2018,1,4,3071.0,,,1008.2,UNKNOWN,5,999.0,388
TIC 92997393,92997393,100,100,8.44,174.2696,-48.3797,2,1,8563.0,3.16318,2.14,361.689,DWARF,2,2.688248,389
TIC 134811073,134811073,100,100,9.58,183.3356,-40.9,2,2,7641.0,2.09266,1.78,353.323,DWARF,2,2.557397,390
TIC 181159386,181159386,100,100,11.17,174.3028,-38.3072,2,3,6719.0,2.78212,1.43,789.341,DWARF,2,3.122752,391
TIC 152177988,152177988,100,100,9.34,170.2813,-40.4964,2,4,5764.0,3.09109,1.03,301.353,DWARF,2,2.848223,392
TIC 288225252,288225252,100,100,7.71,187.2504,-50.6481,3,1,8639.0,2.77705,2.16,231.336,DWARF,2,2.429167,393
TIC 67624593,67624593,100,100,9.18,182.2989,-55.9413,3,2,8627.0,2.21264,,113.647,DWARF,2,2.525822,394
TIC 410932595,410932595,100,100,9.43,178.0282,-68.7548,3,3,7254.0,1.94411,1.63,286.11,DWARF,2,2.463442,395
TIC 448766484,448766484,100,100,9.29,213.3035,-66.6839,3,4,7544.0,2.01065,1.75,280.67,DWARF,2,2.464673,396
TIC 263616638,263616638,100,100,9.87,234.9347,-66.6224,4,1,8549.0,1.71315,,239.940781,DWARF,2,2.441591,397
