target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,teff_k,stellar_radius_solar,stellar_mass_solar,distance_pc,luminosity_class,stellar_selection_tier,small_planet_merit,selection_rank
TIC 74188694,74188694,100,100,10.08,264.6357,-58.5453,4,4,3352.0,0.359816,,16.3287,DWARF,0,1.128161,48
TIC 308984536,308984536,100,100,12.16,150.8982,-27.2954,1,1,3259.0,0.245879,,26.3491,DWARF,0,1.213443,49
TIC 410407964,410407964,100,100,8.67,166.8636,-19.2918,1,2,3827.0,0.564998,0.558547,18.7168,DWARF,0,1.238094,50
TIC 333794492,333794492,100,100,11.18,169.274,-11.3748,1,3,3300.0,0.285621,,19.9821,DWARF,0,1.14758,51
TIC 36877906,36877906,100,100,12.7,156.2586,-9.0898,1,4,3142.0,0.196692,0.165744,25.1823,DWARF,0,1.127573,52
TIC 80938947,80938947,100,100,13.05,166.2091,-48.8952,2,1,3232.0,0.300053,,49.0596,DWARF,0,1.564396,53
TIC 165630168,165630168,100,100,11.1,181.0678,-40.6356,2,2,3384.0,0.290069,,20.5649,DWARF,0,1.145003,54
TIC 152366332,152366332,100,100,11.64,171.097,-39.0133,2,3,3250.0,0.27115,0.244083,22.2747,DWARF,0,1.194419,55
TIC 106756298,106756298,100,100,13.43,160.7694,-40.8173,2,4,3201.0,0.254024,0.225229,46.6904,DWARF,0,1.49575,56
TIC 273342620,273342620,100,100,11.18,188.6605,-54.2508,3,1,3312.0,0.340518,0.323247,24.8262,DWARF,0,1.30028,57
TIC 467558608,467558608,100,100,12.11,168.8106,-65.1104,3,2,3411.0,0.378217,0.366699,44.333,DWARF,0,1.577482,58
TIC 448186109,448186109,100,100,9.99,208.7213,-71.3642,3,3,3509.0,0.462766,,22.8364,DWARF,0,1.328723,59
TIC 209828429,209828429,100,100,11.7,211.0014,-59.4023,3,4,3486.0,0.299168,0.275669,30.1693,DWARF,0,1.29183,60
TIC 258603530,258603530,100,100,8.02,221.9893,-67.8388,4,1,5880.0,1.09644,1.07,64.2075,DWARF,0,1.68397,61
TIC 395744004,395744004,100,100,7.49,208.8314,-76.271,4,2,5049.07,0.76258,0.84,26.4945,DWARF,0,1.262571,62
TIC 256097450,256097450,100,100,10.51,267.1169,-74.4625,4,3,3431.0,0.338157,0.320517,19.2541,DWARF,0,1.160237,63
TIC 74185907,74185907,100,100,12.12,264.6727,-59.7085,4,4,3185.0,0.251972,0.222998,25.5313,DWARF,0,1.226705,64
TIC 192941085,192941085,100,100,13.71,154.7539,-26.7762,1,1,3101.0,0.199514,,38.383,DWARF,0,1.341947,65
TIC 393419874,393419874,100,100,11.87,164.6824,-25.9047,1,2,3354.0,0.288779,0.263867,28.4048,DWARF,0,1.295131,66
TIC 181804752,181804752,100,100,13.56,165.6898,-16.4066,1,3,2949.0,0.17143,,26.4927,DWARF,0,1.180174,67
TIC 334736511,334736511,100,100,11.41,157.5428,-15.435,1,4,3396.0,0.282761,0.257076,23.5934,DWARF,0,1.184839,68
TIC 92763631,92763631,100,100,9.38,173.9745,-49.605,2,1,4451.0,0.739984,0.7,46.3324,DWARF,0,1.614445,69
TIC 22850303,22850303,100,100,11.14,185.9083,-46.1057,2,2,3289.0,0.322272,,22.9056,DWARF,0,1.244445,70
TIC 277958255,277958255,100,100,13.07,177.759,-36.1964,2,3,3051.0,0.207913,0.176876,28.6586,DWARF,0,1.249763,71
TIC 151639642,151639642,100,100,10.9,166.9214,-36.1002,2,4,3538.0,0.470157,,36.7915,DWARF,0,1.524486,72
TIC 403956193,403956193,100,100,11.49,188.5855,-53.5007,3,1,3292.0,0.322928,,25.8959,DWARF,0,1.316211,73
TIC 401143496,401143496,100,100,7.22,186.0432,-57.9186,3,2,6109.0,1.19197,1.15,51.7514,DWARF,0,1.596531,74
TIC 395294553,395294553,100,100,11.36,205.2301,-72.2153,3,3,3575.0,0.45073,,43.2425,DWARF,0,1.579833,75
TIC 186085740,186085740,100,100,9.52,220.0002,-56.915,3,4,3882.0,0.528203,0.525227,25.6314,DWARF,0,1.349602,76
TIC 342609764,342609764,100,100,7.38,240.1506,-61.3056,4,1,5881.02,1.30461,1.07,57.1364,DWARF,0,1.706961,77
TIC 401487114,401487114,100,100,11.11,215.1512,-75.2685,4,2,3244.0,0.357737,0.343143,,DWARF,0,1.329128,78
TIC 256097445,256097445,100,100,10.23,267.1153,-74.4666,4,3,3470.0,0.374096,0.361974,19.266,DWARF,0,1.191966,79
TIC 172889501,172889501,100,100,12.23,256.9485,-59.5233,4,4,3204.0,0.247532,0.218194,26.2534,DWARF,0,1.233263,80
TIC 54109992,54109992,100,100,10.88,160.3532,-30.0251,1,1,3562.0,0.411941,0.404894,30.8946,DWARF,0,1.40567,81
TIC 308094988,308094988,100,100,12.52,168.1056,-17.776,1,2,3255.0,0.251496,,31.5577,DWARF,0,1.305062,82
TIC 453465810,453465810,100,100,9.2,170.024,-10.4962,1,3,3582.0,0.50961,0.507473,18.8973,DWARF,0,1.254476,83
TIC 192543860,192543860,100,100,12.47,154.5474,-20.4717,1,4,3079.0,0.238938,,25.4199,DWARF,0,1.25057,84
TIC 81699706,81699706,100,100,9.81,167.945,-48.7728,2,1,5045.74,0.673358,0.84,68.4799,DWARF,0,1.618492,85
TIC 73305532,73305532,100,100,10.07,190.261,-46.9236,2,2,3536.0,0.41845,,21.2197,DWARF,0,1.257287,86
TIC 142389148,142389148,100,100,11.8,181.7411,-35.0165,2,3,3162.0,0.292099,,40.6544952,DWARF,0,1.29106,87
TIC 102689293,102689293,100,100,12.54,155.4598,-41.9827,2,4,3268.0,0.322307,,42.8547,DWARF,0,1.524539,88
TIC 255848989,255848989,100,100,12.31,186.0993,-53.6529,3,1,3113.0,0.29179,,31.3206,DWARF,0,1.392141,89
TIC 405382498,405382498,100,100,9.61,184.1496,-57.5992,3,2,4547.0,0.692976,0.72,50.554,DWARF,0,1.603436,90
TIC 359578644,359578644,100,100,12.51,183.8592,-72.5016,3,3,3454.0,0.385814,,57.8519,DWARF,0,1.674756,91
TIC 393001368,393001368,100,100,10.9,218.4721,-61.1518,3,4,3543.0,0.410113,0.40285,30.6424,DWARF,0,1.405807,92
TIC 363265095,363265095,100,100,11.57,248.5785,-69.1537,4,1,3313.0,0.507862,,50.0116,DWARF,0,1.725491,93
TIC 402683652,402683652,100,100,12.43,224.006,-72.6625,4,2,3136.0,0.30821,,,DWARF,0,1.463693,94
