target,tic_id,sector,sectors
TIC 20318757,20318757,100,100
TIC 23434737,23434737,100,100
TIC 36724087,36724087,100,100
TIC 221861843,221861843,100,100
TIC 260647166,260647166,100,100
TIC 301160638,301160638,100,100
TIC 313675203,313675203,100,100
