target,tic_id,ra,dec,tmag,teff_k,radius_solar,distance_pc,contamination_ratio,gaia_source_id
TIC 224597588,224597588,254.71737535703,58.13057749548,13.262,3717.0,0.518,132.469,0.0015,1436703879484064640
TIC 219114453,219114453,272.13184777606,69.92100639858,13.263,3524.0,0.46,104.854,0.0058,2260131642219671936
TIC 219846123,219846123,255.49994851568,68.3074713774,13.263,3565.0,0.415,92.2494,0.0154,1636938244120736640
TIC 258389773,258389773,296.74363343055,70.89943361789,13.264,3814.0,0.584,159.421,0.0051,2263255286035439744
TIC 441717644,441717644,254.61464013013,76.44628659473,13.264,3589.0,0.445,103.574,6.0E-4,1704732069505911808
TIC 230376832,230376832,285.17073549509,61.40262951957,13.265,3520.0,0.494,113.797,0.1038,2156025105298447104
TIC 219855010,219855010,256.7688460175,67.16128029661,13.266,3012.0,0.2,29.948,0.0027,1635873435829345536
TIC 441730773,441730773,257.43752228543,76.52714777136,13.267,3546.0,0.469,108.622,4.0E-4,1704769109303362688
TIC 219091864,219091864,269.07809836424,70.84423022367,13.268,3639.0,0.565,145.498,0.003,1638930868428092288
TIC 230129453,230129453,251.71979322225,66.33061112401,13.268,3304.0,0.415,80.4251,0.0051,1636106978970969984
TIC 287152008,287152008,253.91375526194,62.21364826187,13.268,3407.0,0.367,74.403,2.0E-4,1630735280553205888
TIC 233628695,233628695,284.63654193965,62.27566587641,13.269,3399.0,0.319,62.6474,0.0319,2252209076826895360
TIC 258799016,258799016,286.66183918186,69.82122809553,13.269,3817.0,0.547,147.453,0.2062,2262202194413785856
TIC 233687729,233687729,275.49965351088,60.08323810008,13.272,3728.0,0.574,152.224,0.1064,2158139083904902784
TIC 264171088,264171088,294.5828355388,66.9023974841,13.272,3711.0,0.498,126.111,0.0608,2248869413336793472
TIC 406928339,406928339,287.43211801853,59.85371144634,13.272,3661.0,0.566,144.407,0.016,2155679686848398336
TIC 229944662,229944662,288.20649019723,62.19999132597,13.273,3815.0,0.566,154.245,0.0098,2252009309307329536
TIC 219106510,219106510,270.75165213634,67.1572584949,13.274,3318.0,0.356,68.7927,0.0098,2257930523020556544
TIC 229614557,229614557,278.20175435656,76.30504974894,13.274,3353.0,0.399,79.5002,0.0135,2269409939809962496
TIC 233199069,233199069,264.83889740492,68.42865054813,13.274,3862.0,0.574,156.908,0.0028,1637649731223358848
TIC 233529647,233529647,280.19719692794,63.16661166509,13.275,3588.0,0.525,127.445,0.0317,2157213952246137088
TIC 237097061,237097061,239.46706752633,68.38616783923,13.275,3637.0,0.459,110.666,0.0033,1646700189388209408
TIC 229792529,229792529,284.55541877337,70.75100536926,13.276,3596.0,0.544,132.779,0.1367,2262865337363426688
TIC 233056405,233056405,269.29680881831,60.0189049583,13.276,3768.0,0.566,152.571,0.0157,1423122333901645184
TIC 441799492,441799492,264.66437124691,76.76031885492,13.276,3661.0,0.473,114.86,0.5817,1657089543478940416
TIC 235683570,235683570,287.2899341949,73.72550420437,13.277,3371.0,0.384,78.5275,0.506,2265105897246433920
TIC 356109440,356109440,261.31207268914,56.21653894252,13.277,3382.0,0.33,65.2475,0.0013,1420588681152989440
TIC 219845010,219845010,255.05215991951,67.85545002769,13.278,3819.0,0.589,164.063,6.0E-4,1636634847631384448
TIC 229581728,229581728,270.43274167011,72.74549330154,13.279,3457.0,0.436,95.3156,0.0097,2266846222291014912
TIC 237101244,237101244,240.8616599988,71.67954756847,13.28,3560.0,0.453,103.272,0.002,1648224490461576064
TIC 229708553,229708553,277.93182555974,66.18950896599,13.281,3945.0,0.595,171.983,0.0024,2257187489381188224
TIC 243315602,243315602,289.48049218429,59.19236080751,13.281,3605.0,0.431,100.39,0.0296,2143394534194602752
TIC 287152323,287152323,253.79099629817,61.24189153003,13.283,3924.0,0.575,164.723,0.0375,1630351138678265728
TIC 441738458,441738458,259.11949690101,73.93688598845,13.283,3852.0,0.58,163.819,0.0046,1655299298030591360
TIC 441741287,441741287,260.14585786739,76.5506128247,13.283,3377.0,0.37,73.5483,2.0E-4,1656742716279938688
TIC 219428705,219428705,254.58020907372,63.97357683417,13.284,3676.0,0.54,139.635,0.0129,1631692645943529984
TIC 376846865,376846865,275.41549678753,71.28779956575,13.284,3543.0,0.497,115.541,3.0E-4,2266459847033635072
TIC 229709207,229709207,278.40165175707,67.0224457552,13.285,3558.0,0.519,126.237,0.0091,2257327681410621056
TIC 230084344,230084344,246.43948568903,67.08980376931,13.285,3386.0,0.486,106.657,0.0036,1642591967270644352
TIC 233054052,233054052,269.30894374794,65.78329315482,13.285,3703.0,0.592,158.599,0.0011,1441068287811572736
TIC 420176286,420176286,292.05625068783,75.60865391783,13.285,3520.0,0.422,96.8745,0.0084,2289384595753689472
TIC 233570240,233570240,281.99663156509,64.58244272115,13.287,3263.0,0.276,49.5384,0.0727,2253792888966236544
TIC 235687253,235687253,289.91714014785,76.53807339394,13.287,3881.0,0.551,152.013,0.027,2289507363099082624
TIC 237201572,237201572,293.0068637287,73.11842668149,13.287,3871.0,0.572,161.392,0.0043,2264793812039409280
TIC 233546770,233546770,281.72689908213,60.09668482685,13.288,3784.0,0.556,149.497,0.1525,2156218997302467712
TIC 400405451,400405451,294.57829235141,61.18429803532,13.288,3641.0,0.507,127.223,0.1769,2239330565850286976
TIC 233502473,233502473,250.78899995489,73.41818968319,13.289,3377.0,0.364,73.2128,0.0054,1654658798148294400
TIC 230120954,230120954,250.11105857527,70.69449119268,13.29,3494.0,0.463,105.055,0.0094,1650360978993459456
TIC 219819293,219819293,267.7924750765,63.70053196248,13.291,3705.0,0.536,138.974,0.4948,1439893012960404224
TIC 219816797,219816797,267.6135910692,61.25165743616,13.292,3313.0,0.351,67.878,0.0053,1436133542186653312
TIC 233045481,233045481,268.46186571818,63.65677224705,13.293,3457.0,0.397,86.5956,0.0062,1439707126775900416
TIC 289589667,289589667,253.25396991614,62.16199736797,13.293,3799.0,0.545,147.094,0.0104,1630649346847683072
TIC 198358449,198358449,256.37059469152,56.90891590668,13.294,3406.0,0.329,65.6511,0.0034,1433415686882168064
TIC 219095882,219095882,269.27189871923,71.3698679076,13.295,3363.0,0.366,73.1588,0.0028,1639021303259574272
TIC 362212245,362212245,270.95490098794,56.64020566921,13.296,3847.0,0.523,139.962,0.2028,2150410208652801536
TIC 233234793,233234793,267.23957010576,70.65786443535,13.297,3433.0,0.393,84.439,0.003,1638914169595185536
TIC 233692264,233692264,275.70940878083,60.89166229236,13.297,3841.0,0.582,162.565,4.0E-4,2158280439868690048
TIC 332503007,332503007,267.22795177715,55.12652341359,13.297,3346.0,0.382,75.9254,9.0E-4,1418129657757346176
TIC 219097842,219097842,269.70298363646,67.12994330394,13.298,3745.0,0.477,120.783,0.0026,1633586314205522304
TIC 229744714,229744714,280.10385104081,66.44107783608,13.3,3450.0,0.578,140.846,0.018,2257065138651422336
TIC 258462259,258462259,300.09515943994,70.13316716053,13.3,3532.0,0.427,98.0314,0.0346,2250955083814754304
TIC 289580377,289580377,252.33554768035,60.42427274418,13.3,3384.0,0.382,76.4855,0.0137,1438147022855324416
TIC 165501611,165501611,265.79299527893,59.01253894736,13.301,3650.0,0.559,142.78,0.1326,1434960741237118080
TIC 237237147,237237147,298.10468958663,74.26575737191,13.302,3246.0,0.288,53.4834,0.0491,2288271683827227008
TIC 353807582,353807582,270.34427830275,57.61266105848,13.303,3737.0,0.539,140.819,0.0042,2151976875283244416
TIC 224597832,224597832,254.70734363639,57.41726759215,13.304,3532.0,0.356,79.2316,0.0045,1433610712756885504
TIC 230023448,230023448,291.96033591948,65.90813902526,13.304,3627.0,0.583,155.941,0.0235,2254764204411046784
TIC 229615901,229615901,278.10946926073,72.75657702529,13.305,3526.0,0.422,96.2401,0.0329,2266283306698510848
TIC 289624039,289624039,254.35856676997,60.43402711877,13.305,3421.0,0.346,71.9816,0.0255,1438008553109665792
TIC 198180911,198180911,244.85304577031,62.96437779429,13.306,3735.0,0.566,149.938,0.0133,1628589205655158912
TIC 229412511,229412511,293.02516959807,62.5892864004,13.306,3310.0,0.379,71.8926,0.0917,2241699669811452800
TIC 229647655,229647655,280.50544365953,75.82910020516,13.306,3252.0,0.274,50.5437,0.019,2268529368434835328
TIC 230090756,230090756,247.674526673,70.15526724322,13.308,3042.0,0.199,30.3628,0.011,1649949658565789056
TIC 233692418,233692418,275.75174873011,60.57538729765,13.308,3826.0,0.583,162.63,0.9992,2158129879791031424
TIC 259168516,259168516,292.31338072882,65.97436723334,13.308,3231.0,0.213,37.2209,0.0207,2242756094328104576
TIC 359586421,359586421,279.75553167013,55.70336953571,13.308,3686.0,0.506,130.677,0.0449,2147791996589848704
TIC 441730672,441730672,257.54067410209,76.94223873325,13.308,3190.0,0.282,48.8135,0.1611,1704863358065733888
TIC 235682392,235682392,287.52679665222,76.78523047675,13.309,3481.0,0.464,104.732,0.0151,2292508067769144192
TIC 199685853,199685853,252.65412185592,59.80609772853,13.31,3230.0,0.304,54.0744,0.0118,1438058134212069504
TIC 198207519,198207519,247.27297024809,64.25937025368,13.311,3705.0,0.543,141.938,0.0016,1629131230527574528
TIC 459977474,459977474,255.62569178256,61.75169083774,13.311,3340.0,0.338,65.5131,0.4776,1438331912607134080
TIC 198238727,198238727,249.1657400942,63.9153824067,13.312,3835.0,0.561,155.252,0.0012,1628887413824254336
TIC 219894805,219894805,262.79028549129,68.89057588736,13.312,3826.0,0.587,164.229,0.0135,1637590151436764800
TIC 441741323,441741323,260.05182515555,76.3829566116,13.312,3622.0,0.494,121.923,0.0031,1656691073593165952
TIC 359585093,359585093,279.77843130106,57.91089203653,13.313,3854.0,0.472,123.396,0.0056,2154297600732238208
TIC 160521128,160521128,240.80918797135,73.48053411688,13.314,3790.0,0.585,163.739,4.0E-4,1702486832401375104
TIC 229582596,229582596,270.49272659757,75.20375014766,13.314,3313.0,0.284,53.3551,0.0055,2267560389453431040
TIC 230395143,230395143,286.68381142904,63.92099257791,13.314,3457.0,0.516,118.488,0.1258,2252810440968123136
TIC 392571152,392571152,280.64234753837,57.72217487717,13.314,3710.0,0.555,146.702,0.0046,2154112333023509376
TIC 357517756,357517756,267.68249117967,77.81107851279,13.316,3690.0,0.532,137.877,4.0E-4,1657307899616377472
TIC 229674228,229674228,252.81936402333,75.03725255693,13.317,3844.0,0.587,168.221,0.0027,1656504362775492096
TIC 233081806,233081806,271.86045418344,62.21084318283,13.317,3508.0,0.404,89.8582,0.0644,2159343259591524608
TIC 198189672,198189672,246.22163574665,62.23054704803,13.318,3383.0,0.386,81.2999,0.0674,1628633083040773120
TIC 353819950,353819950,270.49336464339,59.31010477876,13.319,3360.0,0.362,75.4995,0.0023,2152565285802513920
TIC 229759296,229759296,281.14559574648,70.43470699978,13.324,3934.0,0.582,169.785,0.003,2265424004000659456
TIC 230015492,230015492,291.43993067568,64.24017799532,13.324,3818.0,0.596,170.64,0.0119,2242175036791669248
TIC 230388662,230388662,286.06878815376,63.17042329602,13.324,3441.0,0.309,63.8051,0.0127,2252715333211819904
TIC 232603695,232603695,258.00640246795,60.21856234414,13.324,3775.0,0.557,152.816,5.0E-4,1437531261984016128
TIC 298665865,298665865,278.3927237414,59.45004815468,13.324,3482.0,0.412,91.5133,0.0373,2157826998698320256
TIC 243296938,243296938,288.6048028616,59.34049493338,13.325,3526.0,0.481,115.913,0.0139,2143595744822102656
TIC 258827509,258827509,287.30378074486,68.43904351049,13.325,3382.0,0.442,96.4056,0.0163,2261961298288443136
TIC 441738827,441738827,259.25384624624,72.74686478784,13.326,3630.0,0.467,114.549,0.0123,1652137995942479744
TIC 232645307,232645307,281.62493238833,57.08125631052,13.327,3561.0,0.471,111.407,0.0045,2154014201610449792
TIC 198390076,198390076,258.34634795879,56.5784602501,13.329,3507.0,0.442,100.363,0.0016,1432797933145796736
TIC 233084001,233084001,271.93077821716,62.16241511685,13.329,3752.0,0.555,151.553,0.0083,2159341472885126528
TIC 229997579,229997579,290.41592365816,64.36657250504,13.331,3618.0,0.463,113.904,0.1021,2254194519949880320
TIC 377190915,377190915,285.70346104273,59.83237405214,13.331,3664.0,0.434,104.554,0.0188,2155637080773645440
TIC 198186599,198186599,245.73525214664,63.64984968869,13.332,3751.0,0.529,142.395,2.0E-4,1628997639864859648
TIC 320504801,320504801,264.63800295372,58.96906858007,13.333,3848.0,0.59,168.823,0.0734,1434643875729787904
TIC 462615036,462615036,250.77655252429,60.78042828687,13.333,3465.0,0.423,94.8962,0.001,1624379141271959680
TIC 229970690,229970690,289.61458867933,65.04450244478,13.335,3815.0,0.556,156.339,0.0051,2254299351511958144
TIC 424388082,424388082,280.95282694151,77.83656898333,13.336,3754.0,0.471,117.416,,2292859293014959488
TIC 441741173,441741173,260.16294458539,77.02603889985,13.336,3668.0,0.552,145.688,6.0E-4,1705181731106240768
TIC 165530693,165530693,266.44193385402,58.55085876307,13.337,3767.0,0.559,153.143,0.0013,1422870854975837824
TIC 229791496,229791496,284.29701781822,70.5312635637,13.337,3713.0,0.535,139.242,0.0453,2262481332927626752
TIC 311236132,311236132,253.99739967213,70.12973113313,13.338,3758.0,0.484,126.199,0.0166,1649393340041304448
TIC 298733784,298733784,278.43206107799,56.91153005355,13.342,3354.0,0.381,77.5606,0.0068,2148200671317225472
TIC 357045864,357045864,274.38752904407,54.82648170137,13.342,3723.0,0.559,147.929,0.0025,2149184047029235456
TIC 230068436,230068436,242.75214618999,67.60470689398,13.343,3627.0,0.573,153.628,2.0E-4,1643383065886613888
TIC 232608853,232608853,258.41481454013,64.26121315174,13.343,3815.0,0.551,154.069,0.1632,1631394884450733440
TIC 233615111,233615111,283.65167575838,62.09424631666,13.343,3901.0,0.521,145.706,0.002,2156866025536028160
TIC 219110616,219110616,271.59848863906,67.86182347736,13.345,3561.0,0.48,119.491,0.1895,2258308063528985600
TIC 230077803,230077803,244.94040039311,69.66160797809,13.345,3456.0,0.397,86.7729,5.0E-4,1652830069792391296
TIC 308021548,308021548,257.35942697257,60.98749865161,13.345,3751.0,0.422,104.736,0.0628,1438354693113780992
TIC 235687135,235687135,289.77960736494,76.94193301384,13.346,3649.0,0.455,114.483,0.003,2292896912631685632
TIC 198214281,198214281,248.36983877766,65.75835151634,13.348,3695.0,0.449,114.521,0.0046,1636026955140191872
TIC 229913545,229913545,287.48740996586,64.82053900107,13.349,3641.0,0.432,104.814,0.0129,2254363810380564096
TIC 237104916,237104916,241.30715368684,66.50413091776,13.349,3245.0,0.263,47.9066,8.0E-4,1642890828274926336
TIC 229643390,229643390,279.79564814047,74.89414164289,13.35,3525.0,0.451,104.493,0.0612,2268109973468404480
TIC 287138612,287138612,252.94354333765,63.17302427121,13.35,3628.0,0.492,121.881,0.0,1631640831458168832
TIC 441731201,441731201,257.73825510752,75.02695022796,13.351,3608.0,0.475,116.862,0.0016,1656361254464451840
TIC 362257171,362257171,286.36817548707,75.25978292478,13.353,3568.0,0.458,113.185,0.0016,2268320220707917568
TIC 235677524,235677524,285.4160387851,72.51469483261,13.355,3761.0,0.579,161.61,0.0222,2264567621881471488
TIC 256458137,256458137,299.02034971081,65.35446673547,13.356,3829.0,0.533,147.224,0.0223,2247733377307754368
TIC 264252932,264252932,295.75188260221,70.28846582064,13.357,3827.0,0.588,169.333,3.0E-4,2263122176409202816
TIC 359676032,359676032,280.9080496087,58.20516213189,13.357,3831.0,0.569,162.708,0.1115,2154506503644554624
TIC 199573123,199573123,241.43670903493,65.06977539089,13.359,3154.0,0.22,37.363,0.0306,1641804029750648320
TIC 229684958,229684958,262.74339978585,58.2022534988,13.359,3836.0,0.573,162.941,0.0014,1434502244888321152
TIC 280035689,280035689,297.65089164555,67.46926270319,13.359,3354.0,0.332,68.4934,0.1426,2249100723096187776
TIC 357596695,357596695,270.05784505442,59.27213122902,13.359,3358.0,0.396,82.8859,0.0152,2152544601239988992
TIC 230083390,230083390,246.17634742051,68.63726929293,13.361,3735.0,0.573,157.793,0.0655,1649527102503183360
TIC 233604958,233604958,282.94309726733,63.28962441214,13.361,3484.0,0.475,111.331,0.0244,2253060854741138816
TIC 233050534,233050534,268.89210258442,62.55812578478,13.362,3413.0,0.389,83.59,0.0029,1436560526359817856
TIC 233735399,233735399,277.5648883247,60.35013017028,13.362,3706.0,0.554,147.901,0.0352,2158011476133429248
TIC 289536041,289536041,251.38504063566,60.07213487869,13.362,3697.0,0.569,154.266,0.0055,1432133759403535104
TIC 237102071,237102071,240.70468565652,67.48974143051,13.363,3489.0,0.368,80.9787,0.009,1643551566043342592
TIC 353808612,353808612,270.25846044288,54.9899741411,13.363,3560.0,0.556,143.472,0.623,2149760672159890944
TIC 394119855,394119855,287.89090263892,75.09920215003,13.363,3701.0,0.511,135.42,0.0027,2265301374095730688
TIC 237206738,237206738,293.53639819413,73.26151574906,13.364,3808.0,0.589,169.014,0.001,2264890912659907840
TIC 219795667,219795667,265.31130090115,64.44604342256,13.365,3514.0,0.468,109.042,0.0,1440877556904146048
TIC 233681536,233681536,260.64120444333,65.53918100152,13.365,3560.0,0.48,115.978,0.0187,1633721932092417152
TIC 441807571,441807571,266.11788707698,74.47793842517,13.366,3743.0,0.562,158.383,0.2441,1652757124068761216
TIC 229596934,229596934,273.49353911598,73.4342292235,13.367,3879.0,0.538,153.427,0.0579,2267291318341716224
TIC 357100050,357100050,274.93104728387,57.10863868872,13.367,3807.0,0.56,158.021,0.1408,2151384891351316736
TIC 362227064,362227064,286.13199996122,72.22383186127,13.367,3687.0,0.594,163.681,0.0017,2264541955156818432
TIC 198180376,198180376,244.95076631147,65.34258851209,13.368,3668.0,0.528,138.055,0.0016,1630148278783565568
TIC 219886543,219886543,262.15362403089,66.920425398,13.368,3422.0,0.594,147.603,0.0269,1634130847337930240
TIC 229464381,229464381,295.01010792795,64.93566917418,13.368,3521.0,0.466,109.947,0.0287,2242452285520825216
TIC 233060572,233060572,269.84534055753,61.89104194241,13.368,3149.0,0.322,57.9312,9.0E-4,1435521801405287040
TIC 219798240,219798240,265.47390189786,60.30312648794,13.369,3497.0,0.348,78.4935,0.0025,1434954900081462016
TIC 230084515,230084515,246.4168805455,67.76660084868,13.369,3479.0,0.298,62.7526,5.0E-4,1648675393308544768
TIC 258388716,258388716,296.73595899566,69.05218890556,13.369,3588.0,0.56,145.09,0.0013,2249524687906227200
TIC 236760750,236760750,273.12057236742,68.49842894359,13.37,3218.0,0.272,50.8319,0.0055,2258270821868517248
TIC 233692125,233692125,275.7605632052,61.18913659289,13.371,3131.0,0.551,120.669,0.0439,2158291473640532480
TIC 259270371,259270371,293.54693583677,69.75960113405,13.372,3855.0,0.595,175.118,0.0069,2261636461321501696
TIC 198459831,198459831,261.93688022282,58.8192395563,13.373,3509.0,0.437,101.875,4.0E-4,1434755678023105408
TIC 362259677,362259677,286.75401676533,74.44877265635,13.373,3711.0,0.459,116.481,0.003,2268163815179198208
TIC 399789191,399789191,278.18672372793,55.96971134769,13.373,3819.0,0.488,132.217,0.0081,2148033579909691776
TIC 219804079,219804079,266.25583542725,62.96420633992,13.374,3784.0,0.531,146.875,0.0079,1439567076482223616
TIC 219857360,219857360,257.40253027513,70.40810851253,13.374,3811.0,0.573,163.826,0.0029,1650859916753963392
TIC 219871379,219871379,259.81589650441,71.15535235498,13.374,3801.0,0.553,157.858,0.0087,1650998008542812928
TIC 229764574,229764574,281.71976734235,70.61602142677,13.374,3478.0,0.422,95.3762,0.3146,2265522960047026176
TIC 232630437,232630437,269.14567763665,54.74681989265,13.374,3435.0,0.451,103.22,0.0104,1417214864084068480
TIC 230387529,230387529,286.04561858181,65.30066185961,13.375,3473.0,0.483,114.479,0.0292,2255189131295515904
TIC 233621300,233621300,284.19899801761,61.05963814277,13.376,3696.0,0.523,139.565,0.0522,2156046648854249856
TIC 236764511,236764511,273.44524292734,66.27651670744,13.376,3567.0,0.386,87.5193,,2257658080358677760
TIC 219880806,219880806,261.2972370281,68.71589020644,13.377,3825.0,0.528,146.552,0.075,1637572765409203328
TIC 359496469,359496469,279.18217435758,55.55722342051,13.377,3640.0,0.485,122.011,0.0017,2147962489610807296
TIC 377292649,377292649,286.56149092543,59.16514225015,13.377,3765.0,0.581,164.395,0.0141,2155178824942853760
TIC 233056247,233056247,269.39363460717,60.3669766356,13.378,3820.0,0.557,159.057,0.001,1435142980993575424
TIC 219808183,219808183,266.60599523084,62.41958188838,13.38,3167.0,0.228,39.5358,3.0E-4,1439499078559840512
TIC 219857791,219857791,257.60369422063,68.93014012423,13.382,3312.0,0.455,102.56,0.117,1638483882591480576
TIC 233618393,233618393,283.9254416956,63.48851089968,13.382,3326.0,0.332,65.77,0.0172,2253125451048647168
TIC 230069011,230069011,242.94901355067,70.38754341925,13.383,3699.0,0.548,148.564,0.0018,1647116388899277952
TIC 236764512,236764512,273.44430508796,66.27729477035,13.383,3578.0,0.381,87.3599,,2257658084656168704
TIC 353808267,353808267,270.26792577443,55.85990325654,13.383,3426.0,0.406,88.6157,0.0058,2150277476983618176
TIC 359585884,359585884,279.82637474617,56.51740735517,13.384,3757.0,0.553,152.959,0.0246,2148121403400716160
TIC 219755626,219755626,261.60145381414,60.33184097674,13.385,3055.0,0.232,38.12,0.0072,1435884468443461888
TIC 229616740,229616740,278.5458188674,73.11656201003,13.385,3473.0,0.531,133.228,0.0329,2266387176187305344
TIC 258955153,258955153,289.20651906676,66.47189047963,13.386,3500.0,0.483,116.273,0.0311,2254945452031326208
TIC 389917516,389917516,276.03382330135,58.42413587859,13.386,3904.0,0.527,151.685,0.0145,2157512881969845632
TIC 219899534,219899534,263.66045114702,67.02443860651,13.387,3398.0,0.512,120.825,0.0087,1633959392244569344
TIC 237102888,237102888,241.04107300931,67.97652049079,13.387,3745.0,0.571,160.565,0.0018,1643617777259274496
TIC 280036313,280036313,297.84657461846,66.65367524989,13.387,3668.0,0.513,134.912,0.0043,2248990497055034240
TIC 229785456,229785456,283.71578006132,69.70067905431,13.388,3754.0,0.555,149.773,0.0284,2262338396416113152
TIC 230068229,230068229,242.70942239064,66.68094092264,13.388,3913.0,0.584,174.543,0.0047,1642510225453079424
TIC 198407657,198407657,258.80715264707,58.56757431357,13.389,3441.0,0.425,95.3745,5.0E-4,1433960666692877440
TIC 198182603,198182603,244.98954569384,63.92407676256,13.391,3423.0,0.352,76.9634,0.2344,1629765648737346304
TIC 229498900,229498900,296.63928153199,64.53821851725,13.391,3641.0,0.485,124.409,0.0183,2241651566178128512
TIC 232603239,232603239,257.81317781921,60.94142497012,13.391,3347.0,0.279,55.1498,0.0137,1437624067637509632
TIC 462613964,462613964,250.93937867682,64.42417841337,13.391,3303.0,0.517,117.726,7.0E-4,1634918922297264512
TIC 237114537,237114537,269.75617665031,56.93845044036,13.392,3690.0,0.431,108.923,0.0134,1418609766381848064
TIC 416191906,416191906,285.49320664116,67.51130415707,13.392,3545.0,0.463,113.831,0.029,2255854610708124288
TIC 230073281,230073281,243.99129904852,65.95901507736,13.393,3337.0,0.343,71.8857,0.0036,1642248988362584448
TIC 198366297,198366297,257.21949768988,56.95451243965,13.394,3554.0,0.33,77.3319,0.0075,1432680628999565824
TIC 356869126,356869126,276.02702247291,69.1370273557,13.394,3521.0,0.442,106.421,0.0064,2259858447939846528
TIC 165502230,165502230,265.84937187159,59.00624925069,13.395,3456.0,0.559,139.626,0.0085,1434960255904777216
TIC 233068267,233068267,270.47585285307,62.89828060631,13.397,3614.0,0.313,72.962,0.0611,2159435171891858176
TIC 219817592,219817592,267.69299944578,63.31938743438,13.398,3621.0,0.58,160.81,0.0026,1439692283369044864
TIC 233631156,233631156,284.96027985344,65.03423231332,13.398,3498.0,0.517,125.712,0.8703,2253686541278788992
TIC 259266022,259266022,293.25522555787,68.32836147576,13.398,3371.0,0.503,114.372,0.0126,2261394190805874432
TIC 298730264,298730264,278.3460261462,56.79005840201,13.401,3546.0,0.438,101.593,0.0322,2148175107671851904
TIC 394130110,394130110,288.95582730963,73.70805119051,13.401,3611.0,0.444,110.528,0.0427,2265059412817576704
TIC 198238477,198238477,249.29188761128,64.96267408791,13.402,3551.0,0.363,83.9753,3.0E-4,1635179643992080000
TIC 462618403,462618403,259.76092325193,55.74354272552,13.402,3495.0,0.387,87.6309,0.0011,1420643484935622144
TIC 165552354,165552354,266.73335157544,56.02858169643,13.405,3741.0,0.562,156.934,0.0208,1418451196189145728
TIC 233054739,233054739,269.25161213849,63.90176705838,13.405,3602.0,0.531,138.122,0.0945,1439734167890058752
TIC 198206492,198206492,247.01593945582,63.02795626281,13.406,3898.0,0.594,180.643,0.0325,1628739770028239616
TIC 233578293,233578293,282.42101109821,61.90282774523,13.406,3916.0,0.581,177.212,0.007,2156880972022259456
TIC 199682126,199682126,252.35120873765,58.57176197535,13.407,3399.0,0.439,97.8382,3.0E-4,1431005007637902976
TIC 219765026,219765026,262.91367947461,64.138642144,13.407,3849.0,0.587,172.764,0.0309,1440526228579276032
TIC 229774185,229774185,282.67711490793,69.52281287334,13.407,3789.0,0.548,156.229,0.007,2265311888174168704
TIC 230390207,230390207,286.00200293643,60.69781501612,13.407,3454.0,0.295,63.0377,7.0E-4,2155780601400288256
TIC 233691535,233691535,275.72483175133,62.49547005594,13.407,3812.0,0.482,131.212,0.0173,2159973692071297024
TIC 233658012,233658012,259.65260618131,61.17911732166,13.408,3383.0,0.368,79.3491,0.0049,1437691996840343040
TIC 362256592,362256592,286.18852787627,73.94650572426,13.408,3907.0,0.578,172.716,0.0063,2268126637942113664
TIC 219868530,219868530,259.21455614036,68.22053050083,13.409,3873.0,0.569,167.743,0.0531,1637444191268619520
TIC 230123494,230123494,250.72140652781,67.84302979512,13.409,3356.0,0.325,66.6632,0.0161,1648512321989969408
TIC 233198774,233198774,265.0747225418,67.52612526461,13.409,3812.0,0.598,174.662,0.3997,1634536017372554112
TIC 233504932,233504932,251.21147008228,72.24505445137,13.41,3529.0,0.425,101.801,0.0017,1653520082058927616
TIC 441727177,441727177,256.69277311975,77.72959882875,13.411,3219.0,0.234,42.5171,1.0E-4,1705146035633980032
TIC 307987270,307987270,257.51026978823,62.11186292846,13.413,3414.0,0.386,82.3706,0.006,1438685749192833024
TIC 219847563,219847563,255.76165114711,69.98744440804,13.414,3313.0,0.279,54.6448,0.5644,1649341662994765568
TIC 422990425,422990425,263.54876130655,56.60261113722,13.414,3458.0,0.386,87.2435,0.0037,1422060343107136128
TIC 198182602,198182602,244.99173091608,63.92371443739,13.415,3420.0,0.354,76.5921,0.2452,1629765648737346560
TIC 356871100,356871100,276.01113752289,66.92383194178,13.416,3659.0,0.556,152.556,0.0016,2257278375187651840
TIC 165471093,165471093,265.21857320473,59.23062091818,13.418,3591.0,0.527,138.706,0.0051,1434653152859191424
TIC 199710403,199710403,253.72915167861,58.34297699092,13.418,3340.0,0.345,73.2352,0.0057,1436750849246392960
TIC 233498293,233498293,249.94333529566,75.39798998033,13.419,3419.0,0.242,48.4687,0.0058,1703170144518594560
TIC 377054940,377054940,285.22489173239,59.36683125651,13.419,3564.0,0.546,142.432,0.0338,2155242837135485440
TIC 198383981,198383981,257.66334877296,57.93885172889,13.42,3410.0,0.334,74.1317,0.0019,1433908920926769152
TIC 258388087,258388087,296.90667161502,67.98487359454,13.42,3712.0,0.441,114.278,0.0043,2249407624277340160
TIC 219118336,219118336,272.48965281202,71.70687713835,13.422,3518.0,0.515,127.221,0.0017,2260728230356480640
TIC 229800696,229800696,285.13892429311,66.187102967,13.422,3475.0,0.468,113.397,0.0067,2255389654728382080
TIC 230025441,230025441,291.82145173505,62.98984816056,13.422,3683.0,0.539,144.539,0.0067,2241958467359926272
TIC 353875094,353875094,271.29299890037,59.75279931213,13.422,3672.0,0.547,150.019,0.0052,2152639708995832960
TIC 377783006,377783006,298.10688524915,65.69399309017,13.422,3830.0,0.555,161.967,0.1735,2247803265015720960
