target,tic_id,ra,dec,tmag,teff_k,radius_solar,distance_pc,contamination_ratio,gaia_source_id
TIC 229479827,229479827,295.52459400747,64.80885156693,13.107,3736.0,0.548,133.437,0.0339,2242423526419782016
TIC 230073286,230073286,244.04356274114,65.97569884404,13.11,3622.0,0.345,71.7383,0.0725,1642249022722317824
TIC 219110035,219110035,271.3780294257,69.42143997331,13.111,3947.0,0.565,148.404,0.0388,2260045227477835776
TIC 389965606,389965606,277.14844405391,56.4918522619,13.111,3877.0,0.586,153.475,0.0127,2151065070906139520
TIC 233212208,233212208,266.95018947379,71.53475137867,13.112,3631.0,0.493,112.089,1.0E-4,1639247630856168320
TIC 230136009,230136009,252.89724326889,66.24995365862,13.113,3830.0,0.507,123.897,4.0E-4,1635362987556007680
TIC 233199944,233199944,264.83431795636,71.27579633181,13.113,3544.0,0.44,93.4178,0.0045,1639157642701317120
TIC 219773818,219773818,263.31158146847,63.2077449758,13.114,2994.0,0.183,24.022,0.0013,1440197680761004288
TIC 237099061,237099061,240.29598693073,70.17884752015,13.114,3417.0,0.297,54.6882,8.0E-4,1647144220287436672
TIC 289571829,289571829,252.17462727854,63.49366424007,13.115,3281.0,0.346,59.93,0.0,1631761365420667264
TIC 441789542,441789542,262.51491777835,72.79079311243,13.115,3454.0,0.362,69.7618,8.0E-4,1652281722728588160
TIC 287138335,287138335,252.90984050299,64.05456294958,13.119,3798.0,0.523,127.795,0.0113,1631883960967186304
TIC 219791334,219791334,264.64875867344,64.41662126729,13.12,3933.0,0.546,141.599,6.0E-4,1440513515475992960
TIC 441795677,441795677,263.73412641318,77.31162340441,13.121,3449.0,0.509,106.178,0.0014,1657179669072751232
TIC 441734228,441734228,258.53159773211,76.35034978496,13.123,3616.0,0.46,102.276,0.0191,1656734573021905408
TIC 376880828,376880828,283.69831517044,76.49628881487,13.124,3498.0,0.418,85.4057,0.0081,2292628704810310784
TIC 362212998,362212998,270.84767597748,55.18997822026,13.126,3778.0,0.592,150.793,0.0043,2149871207437253632
TIC 230388486,230388486,286.07713721127,63.50172500087,13.127,3528.0,0.523,113.754,0.0132,2252727496559432448
TIC 232616019,232616019,259.48265064723,62.34009516569,13.127,3196.0,0.367,63.1474,0.0206,1438606412557428352
TIC 233572515,233572515,281.96636220513,60.52333820484,13.127,3860.0,0.519,129.525,0.009,2156326062247357440
TIC 219791669,219791669,264.64194038772,65.43849662067,13.128,3317.0,0.448,86.4532,7.0E-4,1633192654682829440
TIC 235709534,235709534,289.71193433985,72.53648453385,13.129,3829.0,0.595,155.436,0.0278,2264424822809260032
TIC 219801595,219801595,266.00301573871,63.44920432667,13.13,3832.0,0.492,120.39,0.2791,1439827282780662528
TIC 237096789,237096789,239.63424522371,69.88544010554,13.134,3598.0,0.367,77.6079,0.0198,1647043477534393728
TIC 229703754,229703754,277.78151600613,66.09171036916,13.135,3966.0,0.54,138.141,0.0647,2257162720307892352
TIC 232608992,232608992,258.51739799044,64.71436233775,13.137,3736.0,0.506,122.763,0.0021,1632169662192085888
TIC 275693340,275693340,287.03002410527,63.20722947301,13.137,3795.0,0.549,137.257,0.0521,2252683997130544128
TIC 229595601,229595601,273.34667924545,77.48705730498,13.138,3668.0,0.494,114.098,0.0164,2269727870468895744
TIC 288428751,288428751,269.15054768277,78.47837593641,13.139,3588.0,0.448,98.0996,0.0042,1705383083468196224
TIC 198204693,198204693,246.66311243368,64.00331018694,13.141,3546.0,0.451,96.7042,0.2919,1629032721157710464
TIC 237114159,237114159,269.70421506524,56.02043640213,13.144,3560.0,0.484,106.687,0.0043,1418275102530047488
TIC 441719484,441719484,254.87480202327,73.94711380211,13.146,3680.0,0.573,141.157,0.0033,1655451923988477568
TIC 353935105,353935105,272.20210388161,56.24739811334,13.148,3596.0,0.533,123.635,4.0E-4,2150174844445168640
TIC 424389265,424389265,281.22287243848,74.14876460774,13.149,2976.0,0.174,23.2267,0.0234,2268003149041626240
TIC 441813927,441813927,267.59469173318,76.98885947411,13.149,3813.0,0.576,148.793,7.0E-4,1657013608457220864
TIC 259270741,259270741,293.55467476189,70.35647508829,13.15,3549.0,0.31,62.208,0.0013,2263349088120533888
TIC 389915503,389915503,275.91314577452,57.62088474498,13.152,3611.0,0.469,104.531,0.0171,2151460723293772416
TIC 459984389,459984389,256.36066334418,60.34391444803,13.152,3754.0,0.538,132.11,0.0048,1437210342027594368
TIC 233616746,233616746,283.61988389888,65.01441114015,13.153,3801.0,0.56,142.982,6.0E-4,2253721695588917120
TIC 237096439,237096439,239.7199346178,71.81114057131,13.153,3478.0,0.363,70.71,0.0078,1648284963601089792
TIC 259132326,259132326,292.17247829675,71.21833900584,13.153,3527.0,0.495,108.229,0.0086,2263454228920143488
TIC 237216824,237216824,295.32354043422,74.94808879017,13.154,3821.0,0.546,139.52,0.0125,2289103945410802432
TIC 376870091,376870091,283.51967695391,74.94467017435,13.154,3162.0,0.241,37.7709,0.0849,2268253356657403136
TIC 280034701,280034701,297.63853051903,69.00577233654,13.155,3583.0,0.531,122.648,0.0028,2250963948626955136
TIC 441802044,441802044,265.21177573578,74.87610600114,13.156,3614.0,0.479,109.048,0.0071,1655705189620151040
TIC 287137981,287137981,252.77236390522,65.44853573111,13.157,3519.0,0.494,107.781,0.001,1635265131021330688
TIC 237218043,237218043,295.24989731589,72.61292964788,13.159,3481.0,0.32,62.5369,0.0046,2263968937800416384
TIC 232629466,232629466,268.94157116776,55.23118316465,13.162,3662.0,0.459,104.102,0.0747,1417454729417154560
TIC 230078715,230078715,245.10676402324,66.10651177711,13.163,3897.0,0.566,149.673,0.0032,1642336227738501888
TIC 233204783,233204783,265.78101578491,69.24959953234,13.163,3340.0,0.346,63.4073,0.0177,1637941617200904576
TIC 219740029,219740029,242.0053373709,65.27517589661,13.164,3488.0,0.443,92.8975,0.0233,1641830521108918272
TIC 259233660,259233660,292.60639275951,68.15454362307,13.164,3419.0,0.378,75.7664,0.0259,2261062378812852992
TIC 420131754,420131754,291.10765456502,73.27281400848,13.164,3659.0,0.44,102.581,0.005,2264857824232062080
TIC 441722448,441722448,255.83068777926,72.49348286173,13.167,3521.0,0.501,110.633,7.0E-4,1652071990885097728
TIC 236760281,236760281,272.8436071182,67.34132155983,13.168,3798.0,0.449,108.667,0.006,2258276181987892864
TIC 229473874,229473874,295.22368476075,61.96166566023,13.169,3619.0,0.417,90.7238,0.0083,2240878781301692416
TIC 229740520,229740520,279.42361701567,68.85317230717,13.169,3851.0,0.572,151.256,0.0101,2259214890040025344
TIC 233211109,233211109,266.83559780952,68.82839346027,13.171,3439.0,0.352,68.5669,0.0018,1637673886119592960
TIC 258350606,258350606,296.44296184804,71.31219073818,13.171,3299.0,0.297,52.4747,0.0011,2263692238827471104
TIC 459980945,459980945,256.09924941911,60.99435156926,13.171,3633.0,0.42,93.7089,0.0014,1438049578637171328
TIC 233498444,233498444,249.78933024031,74.7912425461,13.173,3480.0,0.41,83.9746,0.0013,1655034143930097280
TIC 233071930,233071930,270.80045079747,60.41134260859,13.174,3547.0,0.458,99.8476,0.0012,2158715782049718784
TIC 298735541,298735541,278.79782637687,59.72249193393,13.175,3494.0,0.377,77.1005,0.0219,2154925662390551680
TIC 356734938,356734938,254.78083951829,69.64248724475,13.176,3801.0,0.589,154.728,2.0E-4,1649124234570670848
TIC 441761963,441761963,260.88647157453,76.94445222041,13.177,3328.0,0.404,78.0746,0.0037,1657139674337246208
TIC 406855375,406855375,274.62964690139,70.24544450853,13.179,3747.0,0.588,153.862,1.0E-4,2260327595807679616
TIC 237225294,237225294,296.51388140334,74.24423975243,13.18,3250.0,0.405,74.6288,0.0106,2288229696226998272
TIC 230125309,230125309,250.92551943861,68.6409791609,13.181,3586.0,0.474,106.869,0.0117,1648785619349009280
TIC 229976076,229976076,290.32466050697,60.41659476718,13.184,3800.0,0.599,160.315,0.0206,2239649183704261120
TIC 198208825,198208825,247.87340756498,64.53861354671,13.185,3915.0,0.58,159.994,0.0012,1629165074869835776
TIC 219844846,219844846,255.16385842026,68.58309159006,13.185,3639.0,0.508,119.754,0.0042,1636995590524134528
TIC 219859629,219859629,257.62681271256,69.323554556,13.186,3141.0,0.254,39.9409,0.0547,1638544252651809664
