target,tic_id,planet,expected_period_days,expected_depth_ppm,tmag,teff_k,stellar_radius_solar,stellar_mass_solar,source_rowupdate,purpose,sector,sectors,author,cadence_seconds,observed_baseline_days,expected_transits
TIC 27532561,27532561,Kepler-1754 b,8.1959496,896.742,15.16,4723,0.747,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,9.88
TIC 27635334,27635334,K2-108 b,4.733999,770.851,11.67,5599,1.76,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",44,44;45;46,SPOC,120,81,17.11
TIC 27645404,27645404,Kepler-954 b,16.781766,783.232,12.32,4990,0.76,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",40,40;41;54,SPOC,120,81,4.83
TIC 27649203,27649203,Kepler-1206 b,1.2169977,401.89,15.27,4877,0.75,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,66.56
TIC 27686898,27686898,Kepler-232 c,11.379349,1315.8,14.83,5847,0.968,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,7.12
TIC 27687265,27687265,Kepler-1856 b,1.302,379.751,14.77,4948,0.816,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,62.21
TIC 27649847,27649847,TOI-521 b,1.5428505,1859.12,12.4,3544,0.421,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",44,44;45;46,SPOC,120,81,52.50
TIC 27766596,27766596,Kepler-679 b,12.393586,1079.23,14.99,5403,0.84,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,6.54
TIC 27766705,27766705,Kepler-1404 b,15.931474,530.583,15.14,5261,0.8,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,5.08
TIC 27767452,27767452,Kepler-181 c,4.302149,593.313,14.16,5333,0.749,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,18.83
TIC 27774043,27774043,Kepler-843 b,2.0538798,531.455,14.77,5830,1.03,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,39.44
TIC 27776660,27776660,Kepler-1061 b,2.7579827,287.809,12.81,6067,1.07,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,29.37
TIC 27843707,27843707,Kepler-554 b,1.9022086,1827.6,13.77,5447,0.92,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,42.58
TIC 27843776,27843776,Kepler-233 b,8.472382,863.805,14.77,5360,0.758,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,9.56
TIC 27847148,27847148,Kepler-534 b,15.959945,439.122,12.79,5884,0.98,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,5.08
TIC 27912642,27912642,Kepler-1212 b,12.941301,291.054,14.56,6051,1.15,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,6.26
TIC 27913951,27913951,Kepler-1862 b,16.057301,627.914,15.31,5644,0.806,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,5.04
TIC 27914290,27914290,Kepler-998 b,5.6537773,324.903,13.87,6058,1.18,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,14.33
TIC 27914389,27914389,Kepler-524 b,7.9741981,253.41,13.42,6014,1.1,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,10.16
TIC 27988327,27988327,Kepler-107 e,14.749143,338.297,12.01,5854,1.447,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,5.49
TIC 27988995,27988995,Kepler-665 b,16.013102,1037.59,14.75,4913,0.74,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",76,76;81;83,SPOC,120,81,5.06
TIC 27990682,27990682,Kepler-1363 b,2.9419409,253.336,14.62,4839,0.72,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,27.53
TIC 27991150,27991150,Kepler-1964 b,2.44083,547.252,15.43,4803,0.698,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,33.19
TIC 28159194,28159194,Kepler-1004 b,5.2878979,288.444,12.72,4972,3.39,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,15.32
TIC 28229515,28229515,Kepler-1645 b,16.177956,255.965,13.95,5812,1.02,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,5.01
TIC 28231454,28231454,Kepler-567 b,16.542974,681.793,14.07,5148,0.79,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,4.90
TIC 28234096,28234096,Kepler-536 b,1.8270823,1019.73,13.23,5524,0.89,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,44.33
TIC 28357724,28357724,Kepler-414 c,7.171,850.927,12.81,,0.946,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,11.30
TIC 28361088,28361088,Kepler-568 b,11.023475,1528.29,13.17,3768,0.53,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,7.35
TIC 28361491,28361491,Kepler-919 b,11.046034,290.627,14.21,6113,1.21,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",76,76;82;83,SPOC,120,81,7.33
TIC 28364164,28364164,Kepler-143 b,16.007583,264.324,13.25,5848,1.359,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;76;81,SPOC,120,81,5.06
TIC 29191624,29191624,TOI-1777.01,14.650112,441.478,8.737,5859,0.98,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",21,21;48,SPOC,120,54,3.69
TIC 30122649,30122649,TOI-808 b,9.7394485,587.826,10.07,5078.2,0.833198,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",8,8;9;35,SPOC,120,81,8.32
TIC 31244979,31244979,K2-383 b,1.865962,318.056,11.84,5129,0.804,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",92,92,SPOC,120,27,14.47
TIC 32425577,32425577,K2-224 c,10.09489,592.8,12.05,5620,0.84,,catalog_pl_trandep,"known-planet recovery, shallow-end expansion",46,46;91,SPOC,120,54,5.35
TIC 33692729,33692729,TOI-469.01,13.630821,1017.65,8.761,5289,0.98,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",6,6;33;87,SPOC,120,81,5.94
TIC 34077285,34077285,TOI-880.02,2.57571,585.159,9.256,5050,0.83,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",33,33;87,SPOC,120,54,20.97
TIC 35021200,35021200,K2-158 b,10.06049,700,11.12,5503,0.95,,catalog_pl_trandep,"known-planet recovery, shallow-end expansion",46,46;91,SPOC,120,54,5.37
TIC 35064295,35064295,K2-159 b,12.42205,650,11.14,5425,0.83,,catalog_pl_trandep,"known-planet recovery, shallow-end expansion",46,46;91,SPOC,120,54,4.35
TIC 36105482,36105482,CoRoT-24 b,5.1134,1555.78,14.51,4950,0.86,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",6,6;33;87,SPOC,120,81,15.84
TIC 37770169,37770169,TOI-470 b,12.19148,2275,10.7,5190,0.831,,catalog_pl_trandep,"known-planet recovery, shallow-end expansion",6,6;33;87,SPOC,120,81,6.64
TIC 38064757,38064757,K2-5 c,10.93241,1321.32,13.54,3930,0.57,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",45,45;46;72,SPOC,120,81,7.41
TIC 38114658,38114658,K2-8 b,10.35239,1967.18,13.71,4870,0.74,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",45,45;46;72,SPOC,120,81,7.82
TIC 38116202,38116202,EPIC 201170410.02,6.7987,1158.61,15.32,3648,0.282,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",45,45;46;72,SPOC,120,81,11.91
TIC 38129680,38129680,K2-64 b,6.53044,683.296,13.39,5312,0.726,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",42,42;92,SPOC,120,54,8.27
TIC 38258419,38258419,K2-68 b,8.05428,460.52,12.03,4746,0.675,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",92,92,SPOC,120,27,3.35
TIC 38354061,38354061,K2-73 b,7.49556,499.815,11.28,5867,1.058,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",42,42;92,SPOC,120,54,7.20
TIC 39200363,39200363,TOI-2133 b,3.8266472,1228.16,10.86,4250,0.62,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",25,25;26;52,SPOC,120,81,21.17
TIC 39699648,39699648,HD 77946 b,6.527363,406.295,8.459,6007,1.3174,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",21,21;47,SPOC,120,54,8.27
TIC 39928614,39928614,K2-69 b,7.06599,1876.53,13.98,4127,0.491,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",42,42;92,SPOC,120,54,7.64
TIC 42883782,42883782,TOI-5788 c,16.213362,573.218,9.607,5615,0.87,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",14,14;80;81,SPOC,120,81,5.00
TIC 44792534,44792534,TOI-954 b,3.6849729,2141.47,9.779,5710,1.892,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",31,31,SPOC,120,27,7.33
TIC 46259692,46259692,K2-272 b,14.453676,1195.29,13.17,5397,0.83,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",44,44;45;46,SPOC,120,81,5.60
TIC 47977416,47977416,Kepler-1329 b,9.3364659,831.31,15.13,4500,0.69,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",80,80;81;82,SPOC,120,81,8.68
TIC 48031665,48031665,TOI-4588 b,13.118812,290.883,9.066,7746.1,1.57458,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",53,53;54;55,SPOC,120,81,6.17
TIC 48131702,48131702,Kepler-1999 b,8.7396758,1431,15.56,4406,0.628,,catalog_pl_trandep,"known-planet recovery, shallow-end expansion",80,80;81;82,SPOC,120,81,9.27
TIC 48188777,48188777,Kepler-153 b,18.870227,900.695,13.72,5404,0.892,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",80,80;81;82,SPOC,120,81,4.29
TIC 48217852,48217852,Kepler-1639 b,9.878482,401.807,14.07,6150,1.18,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",53,53;54;55,SPOC,120,81,8.20
TIC 48217868,48217868,Kepler-298 b,10.475464,953.252,14.73,4465,0.582,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",80,80;81;82,SPOC,120,81,7.73
TIC 48304460,48304460,Kepler-299 c,6.885875,554.209,14.53,5617,1.032,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",80,80;81;82,SPOC,120,81,11.76
TIC 48304653,48304653,Kepler-101 b,3.4876812,1149.86,13.08,5667,1.56,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",80,80;81;82,SPOC,120,81,23.22
TIC 48353358,48353358,Kepler-1651 b,9.8786392,1124.71,12.1,3713,0.503,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",53,53;54;55,SPOC,120,81,8.20
