target,tic_id,planet,expected_period_days,expected_depth_ppm,tmag,teff_k,stellar_radius_solar,stellar_mass_solar,source_rowupdate,purpose,sector,sectors,author,cadence_seconds,observed_baseline_days,expected_transits
TIC 63122858,63122858,Kepler-709 b,16.08525,1208.72,14.6,5071,0.77,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82,SPOC,120,54,3.36
TIC 63122956,63122956,Kepler-28 b,5.91,731.601,14.33,4499.3,0.664,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,13.71
TIC 63126862,63126862,Kepler-42 b,1.2137672,1769.43,13.74,3068,0.17,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,66.73
TIC 63126989,63126989,Kepler-609 b,6.5212107,725.808,14.32,5971,1.14,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82,SPOC,120,54,8.28
TIC 63130782,63130782,Kepler-763 d,6.5032704,418.3,15.09,4999,0.843,,catalog_pl_trandep,"known-planet recovery, shallow-end expansion",82,82,SPOC,120,27,4.15
TIC 63204017,63204017,Kepler-226 c,5.349555,673.356,14.87,5571,0.802,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82,SPOC,120,54,10.09
TIC 63206513,63206513,Kepler-461 b,8.3137831,675.613,12.89,5634,0.91,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,9.74
TIC 63210391,63210391,Kepler-474 b,5.6606729,674.741,13,5785,1.08,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,14.31
TIC 63213622,63213622,Kepler-1313 b,3.8330912,360.354,11.27,5453,0.85,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,21.13
TIC 63214717,63214717,Kepler-798 b,13.719334,288.508,13.75,6224,1.29,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,5.90
TIC 63283780,63283780,Kepler-210 b,2.453234,1719.53,13.07,4559,0.65,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,33.02
TIC 63366281,63366281,Kepler-327 d,13.969457,1039.21,14.01,3799,0.492,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,5.80
TIC 63370825,63370825,Kepler-1902 b,3.8222201,439.705,14.69,3729,0.514,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",40,40;41;54,SPOC,120,81,21.19
