target,tic_id,sectors
TIC 57348820,57348820,101
TIC 57367859,57367859,101
TIC 57378518,57378518,101
TIC 57570218,57570218,101
TIC 57570617,57570617,101
TIC 57574224,57574224,101
TIC 57693006,57693006,101
TIC 57714798,57714798,101
TIC 57717864,57717864,101
TIC 57790484,57790484,101
TIC 57795673,57795673,101
TIC 60709182,60709182,101
TIC 60734281,60734281,101
TIC 60734330,60734330,101
TIC 61413837,61413837,101
TIC 61477444,61477444,101
TIC 61536029,61536029,101
TIC 61539454,61539454,101
TIC 61542962,61542962,101
TIC 61594255,61594255,101
TIC 61822201,61822201,101
TIC 61871671,61871671,101
TIC 61940515,61940515,101
TIC 65305860,65305860,101
TIC 65314847,65314847,101
TIC 65716946,65716946,101
TIC 67208897,67208897,101
TIC 67319732,67319732,101
TIC 67801852,67801852,101
TIC 68322226,68322226,101
TIC 68418284,68418284,101
TIC 68595017,68595017,101
TIC 71379213,71379213,101
TIC 72121577,72121577,101
TIC 72500833,72500833,101
TIC 72568304,72568304,101
TIC 72756853,72756853,101
TIC 72760821,72760821,101
TIC 72814920,72814920,101
TIC 72988676,72988676,101
TIC 73081785,73081785,101
TIC 73174531,73174531,101
TIC 73301828,73301828,101
TIC 73304453,73304453,101
TIC 73308290,73308290,101
TIC 73405282,73405282,101
TIC 73710356,73710356,101
TIC 73710370,73710370,101
TIC 77529668,77529668,101
TIC 77530888,77530888,101
TIC 77555289,77555289,101
TIC 77556322,77556322,101
TIC 77556406,77556406,101
TIC 82437857,82437857,101
TIC 82442489,82442489,101
TIC 82849372,82849372,101
TIC 83112462,83112462,101
TIC 83113208,83113208,101
TIC 83113252,83113252,101
TIC 83113607,83113607,101
TIC 83133871,83133871,101
TIC 83136506,83136506,101
TIC 83152944,83152944,101
TIC 83153075,83153075,101
TIC 83154030,83154030,101
TIC 83207850,83207850,101
TIC 88741544,88741544,101
TIC 89635056,89635056,101
TIC 90048949,90048949,101
TIC 90050066,90050066,101
TIC 90144286,90144286,101
TIC 90801126,90801126,101
TIC 93844598,93844598,101
TIC 93847832,93847832,101
TIC 94016706,94016706,101
TIC 94017750,94017750,101
TIC 94017782,94017782,101
TIC 94017827,94017827,101
TIC 94342280,94342280,101
TIC 94465914,94465914,101
TIC 94554742,94554742,101
TIC 94555919,94555919,101
TIC 97744411,97744411,101
TIC 98871628,98871628,101
TIC 98873225,98873225,101
TIC 98873439,98873439,101
TIC 98939709,98939709,101
TIC 98940766,98940766,101
TIC 98956912,98956912,101
TIC 98957720,98957720,101
TIC 98992581,98992581,101
TIC 98994305,98994305,101
TIC 99028233,99028233,101
TIC 99028319,99028319,101
TIC 99029327,99029327,101
TIC 99049821,99049821,101
TIC 99053300,99053300,101
TIC 99059830,99059830,101
TIC 99060505,99060505,101
TIC 99129610,99129610,101
TIC 99138443,99138443,101
TIC 99141741,99141741,101
TIC 99176838,99176838,101
TIC 99176851,99176851,101
TIC 99180081,99180081,101
TIC 100229378,100229378,101
TIC 101905319,101905319,101
TIC 101906109,101906109,101
TIC 102079691,102079691,101
TIC 102169275,102169275,101
TIC 102170045,102170045,101
TIC 102171374,102171374,101
TIC 102171925,102171925,101
TIC 102174732,102174732,101
TIC 102176459,102176459,101
TIC 102190939,102190939,101
TIC 102192004,102192004,101
TIC 102192161,102192161,101
TIC 102193494,102193494,101
TIC 102302709,102302709,101
TIC 102303816,102303816,101
TIC 102305337,102305337,101
TIC 102306789,102306789,101
TIC 102307332,102307332,101
TIC 102310237,102310237,101
TIC 102311007,102311007,101
TIC 102313745,102313745,101
TIC 103576633,103576633,101
TIC 103578831,103578831,101
TIC 103578925,103578925,101
TIC 103625404,103625404,101
TIC 103625477,103625477,101
TIC 103626477,103626477,101
TIC 103630061,103630061,101
TIC 103678148,103678148,101
TIC 103683084,103683084,101
